"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"64","Jay Ajayi","RB","Boise State",2015,"MIA",5,149,"AjayJa00",45,20,7.11111111111111,71.75,221,24,4.57,19,39,121,4.1,7.1,1,1
"65","Kerryon Johnson","RB","Auburn",2018,"DET",2,43,"JohnKe06",18,8,7.11111111111111,71.5,213,NA,NA,11,40,126,4.29,7.07,NA,NA
"66","Steve Slaton","RB","West Virginia",2008,"HOU",3,89,"SlatSt00",45,20,7.11111111111111,69.125,197,NA,4.49,19,33.5,118,NA,NA,NA,NA
"67","Jonathan Stewart","RB","Oregon",2008,"CAR",1,13,"StewJo00",134,59,7.04477611940298,70.25,235,NA,4.48,28,36.5,128,4.53,7.44,1,1
"68","Tarik Cohen","RB","North Carolina A&T",2017,"CHI",4,119,"CoheTa00",48,21,7,66.375,179,NA,4.42,11,31.5,118,NA,NA,NA,NA
"69","Darren Sproles","RB","Kansas State",2005,"SD",4,130,"SproDa00",183,80,6.99453551912568,66.125,187,NA,4.49,23,33,102,3.96,6.96,2,NA
"70","Darren McFadden","RB","Arkansas",2008,"OAK",1,4,"McFaDa00",103,45,6.99029126213592,73.25,211,NA,4.38,NA,33,128,NA,NA,NA,NA
"71","Thomas Jones","RB",NA,2000,"ARI",1,7,"JoneTh00",180,78,6.93333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","James Conner","RB","Pittsburgh",2017,"PIT",3,105,"ConnJa00",37,16,6.91891891891892,73.25,233,NA,4.65,20,29,113,NA,NA,1,NA
"73","Rashard Mendenhall","RB","Illinois",2008,"PIT",1,23,"MendRa00",72,31,6.88888888888889,70.125,225,NA,4.45,26,33.5,117,4.18,NA,NA,NA
"74","DeShaun Foster","RB","UCLA",2002,"CAR",2,34,"FostDe00",79,34,6.88607594936709,73,222,NA,4.57,20,35.5,119,4.16,6.82,NA,NA
"75","Tatum Bell","RB","Oklahoma State",2004,"DEN",2,41,"BellTa00",54,23,6.81481481481481,71,212,NA,4.39,25,38.5,117,NA,NA,NA,NA
"76","Giovani Bernard","RB","North Carolina",2013,"CIN",2,37,"BernGi00",99,42,6.78787878787879,68.375,202,25,4.53,19,33.5,122,4.12,6.91,NA,NA
"77","Spencer Ware","RB","Louisiana State",2013,"SEA",6,194,"WareSp00",43,18,6.69767441860465,70.125,228,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Sony Michel","RB","Georgia",2018,"NE",1,31,"MichSo00",29,12,6.62068965517241,70.625,214,NA,4.54,22,NA,NA,4.21,NA,NA,NA
"79","C.J. Spiller","RB","Clemson",2010,"BUF",1,9,"SpilC.00",90,37,6.57777777777778,70.625,196,10,4.27,18,NA,NA,NA,NA,1,1
"80","Latavius Murray","RB","Central Florida",2013,"OAK",6,181,"MurrLa00",93,38,6.53763440860215,74.625,223,NA,NA,NA,NA,NA,NA,NA,1,NA
"81","Cedric Benson","RB","Texas",2005,"CHI",1,4,"BensCe00",96,39,6.5,70.5,222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Jeremy Hill","RB","Louisiana State",2014,"CIN",2,55,"HillJe01",55,22,6.4,72.625,233,NA,4.56,20,29,112,NA,NA,NA,NA
"83","Matt Jones","RB","Florida",2015,"WAS",3,95,"JoneMa04",25,10,6.4,74.375,231,NA,4.61,20,31.5,112,4.2,NA,NA,NA
"84","Mike Anderson","RB",NA,2000,"DEN",6,189,"AndeMi00",98,39,6.36734693877551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","James Starks","RB","Buffalo",2010,"GB",6,193,"StarJa00",76,30,6.31578947368421,74.125,218,NA,4.5,15,36,119,4.23,6.89,NA,NA
"86","Trent Richardson","RB","Alabama",2012,"CLE",1,3,"RichTr00",46,18,6.26086956521739,69.25,228,NA,4.49,NA,NA,NA,NA,NA,NA,NA
"87","Alex Collins","RB","Arkansas",2016,"SEA",5,171,"CollAl00",36,14,6.22222222222222,70,217,NA,4.59,18,28.5,113,NA,NA,NA,NA
"88","Carlos Hyde","RB","Ohio State",2014,"SF",2,57,"HydeCa00",80,31,6.2,71.875,230,9,4.62,19,34.5,113,NA,NA,NA,NA
"89","Montee Ball","RB","Wisconsin",2013,"DEN",2,58,"BallMo00",21,8,6.09523809523809,70.5,214,NA,4.66,15,32,118,4.4,6.88,NA,NA
"90","Jerick McKinnon","RB","Georgia Southern",2014,"MIN",3,96,"McKiJe00",58,22,6.06896551724138,68.875,209,NA,4.41,32,40.5,132,4.12,6.83,NA,NA
"91","Rashad Jennings","RB","Liberty (VA)",2009,"JAX",7,250,"JennRa00",93,35,6.02150537634409,73,231,NA,4.59,29,34,120,4.2,6.86,NA,NA
"92","Brandon Jacobs","RB","Southern Illinois",2005,"NYG",4,110,"JacoBr00",109,41,6.01834862385321,76.25,267,NA,4.56,19,37,118,4.46,7.53,NA,NA
"93","Felix Jones","RB","Arkansas",2008,"DAL",1,22,"JoneFe00",80,30,6,70.125,207,NA,4.5,NA,33.5,124,4.19,6.9,NA,NA
"94","Nyheim Hines","RB","North Carolina State",2018,"IND",4,104,"HineNy00",32,12,6,68.375,198,NA,4.38,NA,35.5,119,4.35,7.18,NA,NA
"95","Quentin Griffin","RB","Oklahoma",2003,"DEN",4,108,"GrifQu00",16,6,6,67,195,NA,4.49,21,38,123,4.02,NA,NA,NA
"96","Alfred Morris","RB","Florida Atlantic",2012,"WAS",6,173,"MorrAl00",105,39,5.94285714285714,69.875,219,NA,4.63,16,35.5,117,4.19,7.01,2,1
"97","Kenyan Drake","RB","Alabama",2016,"MIA",3,73,"DrakKe00",62,23,5.93548387096774,72.625,210,NA,4.45,10,34.5,123,4.21,7.04,NA,NA
"98","Kevin Smith","RB","Central Florida",2008,"DET",3,64,"SmitKe02",54,20,5.92592592592593,73.125,217,NA,4.56,NA,32,120,4.49,6.74,NA,NA
"99","T.J. Yeldon","RB","Alabama",2015,"JAX",2,36,"YeldT.00",57,21,5.89473684210526,73.25,226,NA,4.61,22,36,117,4.22,7.19,NA,NA
"100","Chris Brown","RB","Oklahoma",2003,"TEN",3,93,"BrowCh03",68,25,5.88235294117647,70.375,210,NA,4.55,17,36,115,NA,NA,NA,NA
"101","Stevan Ridley","RB","Louisiana State",2011,"NE",3,73,"RidlSt00",74,27,5.83783783783784,71.25,225,NA,4.65,18,36,118,4.21,6.78,NA,NA
"102","Karlos Williams","RB","Florida State",2015,"BUF",5,155,"WillKa01",11,4,5.81818181818182,72.75,230,NA,4.48,16,33.5,117,4.46,7.16,NA,NA
"103","Ronnie Brown","RB","Auburn",2005,"MIA",1,2,"BrowRo05",132,48,5.81818181818182,72.25,233,NA,4.46,18,34,117,4.08,7.1,1,NA
"104","Tim Hightower","RB",NA,2008,"ARI",5,149,"HighTi00",77,28,5.81818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Dion Lewis","RB","Pittsburgh",2011,"PHI",5,149,"LewiDi00",86,31,5.76744186046512,66.625,193,NA,4.56,17,34.5,112,4.18,6.9,NA,1
"106","Cadillac Williams","RB","Auburn",2005,"TB",1,5,"WillCa02",81,29,5.72839506172839,70.875,217,NA,4.5,19,35.5,118,4.15,6.94,NA,NA
"107","Wali Lundy","RB","Virginia",2006,"HOU",6,170,"LundWa00",14,5,5.71428571428571,71,214,NA,4.52,18,35,111,4.36,6.99,NA,NA
"108","Michael Bennett","RB","Wisconsin",2001,"MIN",1,27,"BennMi00",109,38,5.57798165137615,69.3,207,NA,4.44,13,39.5,130,NA,NA,1,NA
"109","Jamaal Williams","RB","Brigham Young",2017,"GB",4,134,"WillJa06",46,16,5.56521739130435,72,212,NA,4.59,NA,30,123,4.53,7.25,NA,NA
"110","Shane Vereen","RB","California",2011,"NE",2,56,"VereSh00",79,27,5.46835443037975,70.25,210,NA,4.49,31,34,115,4.28,6.95,NA,NA
"111","Duke Johnson","RB","Miami (FL)",2015,"CLE",3,77,"JohnDu00",80,27,5.4,69.125,207,NA,4.54,NA,33.5,121,NA,NA,NA,NA
"112","Anthony Thomas","RB","Michigan",2001,"CHI",2,38,"ThomAn01",87,29,5.33333333333333,73.6,229,NA,4.62,20,32.5,115,4.44,7.48,NA,NA
"113","Ladell Betts","RB","Iowa",2002,"WAS",2,56,"BettLa00",111,37,5.33333333333333,70.5,220,NA,4.6,23,38,115,4.06,7.06,NA,NA
"114","William Green","RB","Boston College",2002,"CLE",1,16,"GreeWi01",46,15,5.21739130434783,72.3,221,NA,4.65,27,42,121,NA,NA,NA,NA
"115","Ronnie Hillman","RB","San Diego State",2012,"DEN",3,67,"HillRo00",56,18,5.14285714285714,68.75,200,NA,4.42,17,37,NA,NA,NA,NA,NA
"116","Andre Brown","RB","North Carolina State",2009,"NYG",4,129,"BrowAn03",22,7,5.09090909090909,72.125,224,NA,4.37,24,37,115,4.33,7.35,NA,NA
"117","Chris Thompson","RB","Florida State",2013,"WAS",5,154,"ThomCh03",66,21,5.09090909090909,67.125,192,NA,4.42,21,NA,NA,NA,NA,NA,NA
"118","Donald Brown","RB","Connecticut",2009,"IND",1,27,"BrowDo00",88,28,5.09090909090909,70.25,210,NA,4.46,NA,41.5,125,4.1,6.93,NA,NA
"119","Jerious Norwood","RB","Mississippi State",2006,"ATL",3,79,"NorwJe00",66,21,5.09090909090909,71.625,210,NA,4.4,15,36.5,122,4.25,6.81,NA,NA
"120","Brandon Jackson","RB","Nebraska",2007,"GB",2,63,"JackBr00",54,17,5.03703703703704,69.875,210,NA,4.56,21,37,122,4.14,7,NA,NA
"121","Zac Stacy","RB","Vanderbilt",2013,"STL",5,160,"StacZa00",35,11,5.02857142857143,68.375,216,NA,4.55,27,33,122,4.17,6.7,NA,NA
"122","David Montgomery","RB","Iowa State",2019,"CHI",3,73,"MontDa01",16,5,5,70.125,222,NA,4.63,15,28.5,121,NA,NA,NA,NA
