"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"1","Patrick Mahomes","QB","Texas Tech",2017,"KC",1,10,"MahoPa00",31,40,20.6451612903226,74.125,225,24,4.8,NA,30,114,4.08,6.88,2,1
"2","Lamar Jackson","QB","Louisville",2018,"BAL",1,32,"JackLa00",31,33,17.0322580645161,74.25,216,NA,NA,NA,NA,NA,NA,NA,1,1
"3","Deshaun Watson","QB","Clemson",2017,"HOU",1,12,"WatsDe00",38,39,16.4210526315789,74.125,221,20,4.66,NA,32.5,119,4.31,6.95,2,NA
"4","Aaron Rodgers","QB","California",2005,"GB",1,24,"RodgAa00",181,184,16.2651933701657,74,223,39,4.75,NA,34.5,110,NA,7.38,8,4
"5","Russell Wilson","QB","Wisconsin",2012,"SEA",3,75,"WilsRu00",128,129,16.125,70.625,204,28,4.53,NA,34,118,4.09,6.97,6,1
"6","Cam Newton","QB","Auburn",2011,"CAR",1,1,"NewtCa00",125,123,15.744,77,248,21,4.56,NA,35,126,4.18,6.92,3,1
"7","Tom Brady","QB","Michigan",2000,"NE",6,199,"BradTo00",285,280,15.719298245614,76.4,211,33,5.3,NA,24.5,99,4.38,7.2,14,7
"8","Drew Brees","QB","Purdue",2001,"SD",2,32,"BreeDr00",275,267,15.5345454545455,72.3,213,28,4.85,NA,32,105,4.21,7.09,13,5
"9","Matt Ryan","QB","Boston College",2008,"ATL",1,3,"RyanMa00",189,179,15.1534391534392,76.75,228,32,4.94,NA,NA,NA,4.51,7.4,4,3
"10","Dak Prescott","QB","Mississippi State",2016,"DAL",4,135,"PresDa01",64,60,15,74.25,226,NA,4.79,NA,32.5,116,4.32,7.11,2,NA
"11","Andrew Luck","QB","Stanford",2012,"IND",1,1,"LuckAn00",86,79,14.6976744186047,76,234,37,4.59,NA,36,124,4.28,6.8,4,NA
"12","Philip Rivers","QB","North Carolina State",2004,"NYG",1,4,"RivePh00",228,204,14.3157894736842,77,229,30,5.08,NA,NA,NA,NA,NA,8,2
"13","Kyler Murray","QB","Oklahoma",2019,"ARI",1,1,"MurrKy00",16,14,14,70.125,207,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Ben Roethlisberger","QB","Miami (OH)",2004,"PIT",1,11,"RoetBe00",218,186,13.651376146789,76.9,241,25,4.75,NA,NA,NA,NA,NA,6,1
"15","Jameis Winston","QB","Florida State",2015,"TB",1,1,"WinsJa00",72,59,13.1111111111111,75.75,231,27,4.97,NA,28.5,103,4.36,7.16,1,NA
"16","Carson Wentz","QB","North Dakota State",2016,"PHI",1,2,"WentCa00",56,45,12.8571428571429,77.25,237,29,4.77,NA,30.5,118,4.15,6.86,1,1
"17","David Garrard","QB","East Carolina (NC)",2002,"JAX",4,108,"GarrDa00",86,69,12.8372093023256,73.9,235,14,4.83,NA,33.5,110,4.26,7.35,1,NA
"18","Jared Goff","QB","California",2016,"LAR",1,1,"GoffJa00",54,43,12.7407407407407,76,215,36,4.82,NA,27,110,4.47,7.17,2,NA
