"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"53",324,"Thomas Davis","LB",NA,2005,"CAR",1,14,"DaviTh20",192,101,8.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",329,"Blake Martinez","LB","Stanford",2016,"GB",4,131,"MartBl01",61,32,8.393442623,73.625,237,NA,4.71,22,28.5,113,4.2,6.98,NA,NA
"55",335,"Lawrence Timmons","LB","Florida State",2007,"PIT",1,15,"TimmLa99",172,90,8.372093023,72.875,234,NA,4.67,25,35,123,4.32,6.89,NA,NA
"56",342,"Keith Bulluck","LB","Syracuse",2000,"TEN",1,30,"BullKe00",170,88,8.282352941,75,244,NA,4.47,NA,38,119,4.13,7.33,NA,NA
"57",347,"Demario Davis","LB","Arkansas State",2012,"NYJ",3,77,"DaviDe00",128,66,8.25,74,235,NA,4.49,32,38.5,124,4.28,7.19,NA,NA
"58",354,"Chad Greenway","LB","Iowa",2006,"MIN",1,17,"GreeCh99",156,80,8.205128205,74.5,242,NA,4.8,16,33.5,117,4.22,7,2,1
"59",356,"Jarrad Davis","LB",NA,2017,"DET",1,21,"DaviJa01",41,21,8.195121951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",372,"Daryl Smith","LB","Georgia Tech",2004,"JAX",2,39,"SmitDa24",190,96,8.084210526,73.6,234,NA,4.67,24,NA,NA,NA,NA,NA,2
"61",373,"DeAndre Levy","LB","Wisconsin",2009,"DET",3,76,"LevyDe99",95,48,8.084210526,73.75,236,NA,4.56,19,NA,119,NA,NA,NA,NA
"62",375,"Olivier Vernon","LB",NA,2012,"MIA",3,72,"VernOl00",113,57,8.07079646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",379,"Paul Posluszny","LB","Penn State",2007,"BUF",2,34,"PoluPa99",145,73,8.055172414,73.63,238,NA,4.71,22,37,116,4.2,6.94,NA,NA
"64",387,"DeMeco Ryans","LB","Alabama",2006,"HOU",2,33,"RyanDe20",140,70,8,73.25,236,NA,4.67,23,39,129,4.17,7.19,NA,NA
"65",389,"Fred Warner","LB","Brigham Young",2018,"SF",3,70,"WarnFr00",32,16,8,75.375,236,NA,4.64,21,38.5,119,4.28,6.9,NA,NA
"66",391,"Jaylon Smith","LB","Notre Dame",2016,"DAL",2,34,"SmitJa05",48,24,8,74,223,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",397,"Reuben Foster","LB",NA,2017,"SF",1,31,"FostRe00",16,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
