"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"99","Keanu Neal","DB","Florida",2016,"ATL",1,17,"NealKe01",34,13,6.11764705882353,72.5,211,NA,4.62,17,38,132,4.38,7.09,NA,NA
"100","Malik Hooker","DB","Ohio State",2017,"IND",1,15,"HookMa00",34,13,6.11764705882353,73.375,206,17,NA,NA,NA,NA,NA,NA,NA,NA
"101","Eric Wright","DB","Nevada Las Vegas",2007,"CLE",2,53,"WrigEr99",92,35,6.08695652173913,70.625,192,NA,4.37,16,36.5,123,4.23,6.93,NA,NA
"102","Gibril Wilson","DB","Tennessee",2004,"NYG",5,136,"WilsGi20",100,38,6.08,72.1,197,NA,4.47,15,NA,120,NA,NA,NA,NA
"103","Jaire Alexander","DB","Louisville",2018,"GB",1,18,"AlexJa00",29,11,6.06896551724138,70.25,192,NA,4.38,14,35,127,3.98,6.71,NA,NA
"104","Roman Harper","DB",NA,2006,"NO",2,43,"HarpRo21",156,59,6.05128205128205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","O.J. Atogwe","DB","Stanford",2005,"STL",3,66,"AtogO.20",101,38,6.01980198019802,71,219,NA,4.57,22,NA,NA,NA,NA,NA,NA
"106","Andre Dyson","DB",NA,2001,"TEN",2,60,"DysoAn20",96,36,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Brandon Carr","DB","",2008,"KC",5,140,"CarrBr99",192,72,6,72.125,207,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Juan Thornhill","DB",NA,2019,"KC",2,63,"ThorJu00",16,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Eric Reid","DB","Louisiana State",2013,"SF",1,18,"ReidEr00",99,37,5.97979797979798,73.25,213,29,4.53,17,40.5,134,4.22,6.99,1,NA
"110","T.J. McDonald","DB","Southern California",2013,"STL",3,71,"McDoTJ00",75,28,5.97333333333333,74.5,219,NA,4.59,19,40,131,4.2,6.89,NA,NA
"111","Louis Delmas","DB","Western Michigan",2009,"DET",2,33,"DelmLo99",78,29,5.94871794871795,71.375,202,12,4.52,12,37,126,4.17,6.67,NA,NA
"112","Kenny Vaccaro","DB","Texas",2013,"NO",1,15,"VaccKe00",97,36,5.93814432989691,72,214,22,4.63,15,38,121,4.06,6.78,NA,NA
"113","Darrent Williams","DB","Oklahoma State",2005,"DEN",2,56,"WillDa21",27,10,5.92592592592593,68.625,176,NA,4.3,16,39,124,3.96,6.97,NA,NA
"114","Mark Barron","DB","Alabama",2012,"TB",1,7,"BarrMa00",119,44,5.91596638655462,73,213,NA,4.56,NA,NA,NA,NA,NA,NA,NA
"115","Marcus Williams","DB","Utah",2017,"NO",2,42,"WillMa06",46,17,5.91304347826087,72.75,202,NA,4.56,14,43.5,128,4.2,6.85,NA,NA
"116","Marcus Maye","DB","Florida",2017,"NYJ",2,39,"MayeMa00",38,14,5.89473684210526,71.625,210,NA,NA,NA,NA,NA,4.12,NA,NA,NA
"117","James Bradberry","DB","Samford (AL)",2016,"CAR",2,62,"BradJa00",60,22,5.86666666666667,72.75,211,NA,4.5,16,36,124,4.21,6.91,NA,NA
"118","Quentin Jammer","DB","Texas",2002,"SD",1,5,"JammQu20",183,67,5.85792349726776,71.9,204,NA,4.49,18,36,124,NA,NA,NA,NA
"119","Chidobe Awuzie","DB","Colorado",2017,"DAL",2,60,"AwuzCh00",41,15,5.85365853658537,71.75,202,34,4.43,16,34.5,132,4.14,6.81,NA,NA
"120","Tim Jennings","DB","Georgia",2006,"IND",2,62,"JennTi20",137,50,5.83941605839416,67.75,185,NA,4.38,17,37.5,117,NA,NA,2,1
"121","Eugene Wilson","DB","Illinois",2003,"NE",2,36,"WilsEu20",96,35,5.83333333333333,70.4,192,NA,4.46,15,38,122,4,7.18,NA,NA
