Name,Position,College,Weight,Forty,Vert,Bench,Broad,ThreeCone,Shuttle
Kristian Fulton,CB,LSU,197,4.46,35.5,,123,6.94,4.36
Jordan Fuller,S,Ohio State,203,4.67,35.5,,122,,4.27
Aaron Fuller,WR,Washington,188,4.59,34,,118,7.14,
Jake Fromm,QB,Georgia,219,5.01,30,,111,7.27,4.51
Blake Ferguson,LS,LSU,229,5.07,31,,112,7.43,4.52
Darrynton Evans,RB,Appalachian State,203,4.41,37,20,125,,
A.J. Epenesa,DL,Iowa,275,5.04,32.5,17,117,7.34,4.46
Jalen Elliott,S,Notre Dame,205,4.8,34,15,125,6.87,4.3
Clyde Edwards-Helaire,RB,LSU,207,4.6,39.5,15,123,,
Jacob Eason,QB,Washington,231,4.89,27.5,,110,7.5,4.75
Devin Duvernay,WR,Texas,200,4.39,35.5,,123,7.13,4.2
Jack Driscoll,OL,Auburn,306,5.02,29.5,23,114,,
Rico Dowdle,RB,South Carolina,213,4.54,38,,127,,
Michael Divinity,LB,LSU,242,4.85,31,14,115,,
AJ Dillon,RB,Boston College,247,4.53,41,23,131,7.19,
Josiah Deguara,TE,Cincinnati,242,4.72,35.5,25,115,7.15,4.35
Raekwon Davis,DL,Alabama,311,5.12,28,24,111,7.95,4.86
Javaris Davis,CB,Auburn,183,4.39,35.5,11,124,,
Gabriel Davis,WR,UCF,216,4.54,35,14,124,7.08,4.59
Darrion Daniels,DL,Nebraska,311,5.18,27,21,109,7.75,4.93
DeeJay Dallas,RB,Miami,217,4.58,33.5,,119,7.18,4.32
Kamren Curl,S,Arkansas,206,4.6,34.5,24,125,,
Carter Coughlin,LB,Minnesota,236,4.57,36,,126,,
Kendall Coleman,DL,Syracuse,257,4.95,32,,114,7.5,4.62
Nick Coe,LB,Auburn,280,4.89,29,21,116,,
Josiah Coatney,DL,Mississippi,308,5.21,27,22,99,8.07,4.82
Tyrie Cleveland,WR,Florida,209,4.46,39.5,13,126,,
Ezra Cleveland,OL,Boise State,311,4.93,30,30,111,7.26,4.46
Rodney Clemons,S,SMU,209,4.71,33.5,21,118,,
Chase Claypool,WR,Notre Dame,238,4.42,40.5,19,126,,
Nevelle Clarke,CB,UCF,190,,35,10,126,6.88,4.31
Cameron Clark,OL,Charlotte,308,5.29,25,26,101,,
Quintez Cephus,WR,Wisconsin,202,4.73,38.5,23,124,7.2,4.33
Marquez Callaway,WR,Tennessee,205,4.55,38,,126,,
Raymond Calais,RB,Louisiana-Lafayette,188,4.42,37.5,20,120,,
Terrell Burgess,S,Utah,202,4.46,33.5,20,122,,
Myles Bryant,CB,Washington,183,4.62,31.5,,115,6.81,4.02
Kelly Bryant,QB,Missouri,229,4.69,35,,125,7.33,4.51
Hunter Bryant,TE,Washington,248,4.74,32.5,23,115,7.08,4.46
Harrison Bryant,TE,Florida Atlantic,243,4.73,32.5,13,110,7.41,4.37
Tony Brown,WR,Colorado,198,4.65,33.5,14,119,7.21,4.27
Derrick Brown,DL,Auburn,326,5.16,27,28,108,8.22,4.79
Shaun Bradley,LB,Temple,235,4.51,32.5,14,121,7.07,4.24
Ross Blacklock,DL,TCU,290,4.9,29,,107,7.77,4.67
Daniel Bituli,LB,Tennessee,246,4.84,32,16,121,,
Francis Bernard,LB,Utah,234,4.81,32.5,19,120,,
Eno Benjamin,RB,Arizona State,207,4.57,39,12,122,6.97,4.25
LeVante Bellamy,RB,Western Michigan,192,4.5,39.5,16,125,,
Omar Bayless,WR,Arkansas State,212,4.62,36,11,123,7.35,4.5
Zack Baun,LB,Wisconsin,238,4.65,32.5,24,115,7,4.31
Essang Bassey,CB,Wake Forest,191,4.46,39.5,12,128,6.95,4.13
Joe Bachie,LB,Michigan State,230,4.67,33.5,26,119,6.93,4.34
Devin Asiasi,TE,UCLA,257,4.73,30.5,16,115,,
