,Name,Position,College,DraftYear,Team,DraftRound,PickNumber,PlayerID,Games,AvgValue,AV16,Height,Weight,Wonderlic,Forty,Bench,Vert,Broad,Shuttle,ThreeCone,ProBowls,AllPros
18,LaDainian Tomlinson,RB,Texas Christian,2001,SD,1,5,TomlLa00,170,157,14.77647059,70.3,221,NA,4.43,18,40.5,124,4.21,6.84,5,6
19,Michael Thomas,WR,Ohio State,2016,NO,2,47,ThomMi05,63,58,14.73015873,74.75,212,NA,4.57,18,35,126,4.13,6.8,3,3
20,Andrew Luck,QB,Stanford,2012,IND,1,1,LuckAn00,86,79,14.69767442,76,234,37,4.59,NA,36,124,4.28,6.8,4,NA
21,Luke Kuechly,LB,Boston College,2012,CAR,1,9,KuecLu00,118,107,14.50847458,75.25,242,NA,4.58,27,38,123,4.12,6.92,2,3
22,Julio Jones,WR,Alabama,2011,ATL,1,6,JoneJu02,126,113,14.34920635,74.75,220,NA,4.34,17,38.5,135,4.25,6.66,7,6
23,Philip Rivers,QB,North Carolina State,2004,NYG,1,4,RivePh00,228,204,14.31578947,77,229,30,5.08,NA,NA,NA,NA,NA,8,2
24,Kyler Murray,QB,Oklahoma,2019,ARI,1,1,MurrKy00,16,14,14,70.125,207,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Von Miller,LB,Texas A&M,2011,DEN,1,2,MillVo00,135,117,13.86666667,74.625,246,NA,4.42,21,37,126,4.06,6.7,6,4
26,Ben Roethlisberger,QB,Miami (OH),2004,PIT,1,11,RoetBe00,218,186,13.65137615,76.9,241,25,4.75,NA,NA,NA,NA,NA,6,1
27,Domanick Williams,RB,NA,2003,HOU,4,101,DaviDo01,40,34,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,C.J. Mosley,LB,Alabama,2014,BAL,1,17,MoslC.00,79,67,13.56962025,74,234,NA,4.65,NA,35,116,4.4,7.3,1,1
29,Tyreek Hill,WR,West Alabama,2016,KC,5,165,HillTy00,59,50,13.55932203,68.125,185,NA,NA,NA,NA,NA,NA,NA,3,NA
30,Le'Veon Bell,RB,Michigan State,2013,PIT,2,48,BellLe00,77,65,13.50649351,73.375,230,NA,4.6,24,31.5,118,4.24,6.75,3,1
31,Christian McCaffrey,RB,Stanford,2017,CAR,1,8,McCaCh01,48,40,13.33333333,71.25,202,21,4.48,10,37.5,121,4.22,6.57,1,NA
32,Kareem Hunt,RB,Toledo,2017,KC,3,86,HuntKa00,35,29,13.25714286,70.5,216,NA,4.62,18,36.5,119,NA,NA,1,NA
33,Dalvin Cook,RB,Florida State,2017,MIN,2,41,CookDa01,29,24,13.24137931,71.125,210,NA,4.49,22,30.5,116,4.53,7.27,1,1
34,Brian Urlacher,LB,New Mexico,2000,CHI,1,9,UrlaBr00,182,150,13.18681319,75.9,258,NA,4.61,27,34,122,4.18,6.94,NA,NA
35,Jameis Winston,QB,Florida State,2015,TB,1,1,WinsJa00,72,59,13.11111111,75.75,231,27,4.97,NA,28.5,103,4.36,7.16,1,NA
36,Khalil Mack,LB,Buffalo,2014,OAK,1,5,MackKh00,94,76,12.93617021,74.625,251,NA,4.65,23,40,127,4.18,7.08,1,1
37,Carson Wentz,QB,North Dakota State,2016,PHI,1,2,WentCa00,56,45,12.85714286,77.25,237,29,4.77,NA,30.5,118,4.15,6.86,1,1
38,David Garrard,QB,East Carolina (NC),2002,JAX,4,108,GarrDa00,86,69,12.8372093,73.9,235,14,4.83,NA,33.5,110,4.26,7.35,1,NA
39,Jared Goff,QB,California,2016,LAR,1,1,GoffJa00,54,43,12.74074074,76,215,36,4.82,NA,27,110,4.47,7.17,2,NA
40,Saquon Barkley,RB,Penn State,2018,NYG,1,2,BarkSa00,29,23,12.68965517,72,233,NA,4.4,29,41,NA,4.24,NA,1,1
41,Matthew Stafford,QB,Georgia,2009,DET,1,1,StafMa00,149,118,12.67114094,74.25,225,38,4.81,NA,30.5,107,4.47,7.06,1,NA
42,Michael Vick,QB,Virginia Tech,2001,ATL,1,1,VickMi00,143,113,12.64335664,72,210,20,4.33,NA,38,NA,NA,NA,4,NA
43,Zack Martin,OL,Notre Dame,2014,DAL,1,16,MartZa00,94,74,12.59574468,76.25,308,NA,5.22,29,28,104,4.59,7.65,NA,NA
44,Ed Reed,DB,NA,2002,BAL,1,24,ReedEd00,174,136,12.50574713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Carson Palmer,QB,Southern California,2003,CIN,1,1,PalmCa00,182,142,12.48351648,77,232,26,4.65,NA,NA,NA,NA,NA,3,1
46,Antonio Brown,WR,Central Michigan,2010,PIT,6,195,BrowAn04,131,102,12.45801527,70.125,186,NA,4.56,13,33.5,105,4.18,6.98,6,5
47,Jahri Evans,OL,Texas A&M,2006,NO,4,108,EvanJa21,183,142,12.41530055,76.5,316,NA,5.29,20,27,95,4.8,7.97,NA,NA
48,David Bakhtiari,OL,Colorado,2013,GB,4,109,BakhDa00,106,82,12.37735849,76.25,299,NA,5.18,28,25.5,101,4.74,7.7,NA,NA
49,Richard Sherman,DB,Stanford,2011,SEA,5,154,SherRi00,134,103,12.29850746,74.625,195,NA,4.54,16,38,125,4.33,6.82,3,5
50,Marcus Mariota,QB,Oregon,2015,TEN,1,2,MariMa01,63,48,12.19047619,75.75,222,NA,4.52,NA,36,121,4.11,6.87,NA,NA
51,Ray Rice,RB,Rutgers,2008,BAL,2,55,RiceRa00,92,70,12.17391304,68,199,NA,4.46,23,31.5,119,4.2,6.65,3,2
52,NaVorro Bowman,LB,NA,2010,SF,3,91,BowmNa99,99,75,12.12121212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
