,Name,Position,College,DraftYear,Team,DraftRound,PickNumber,PlayerID,Games,AvgValue,AV16,Height,Weight,Wonderlic,Forty,Bench,Vert,Broad,Shuttle,ThreeCone,ProBowls,AllPros
642,DeShaun Foster,RB,UCLA,2002,CAR,2,34,FostDe00,79,34,6.886075949,73,222,NA,4.57,20,35.5,119,4.16,6.82,NA,NA
643,Brandon Weeden,QB,Oklahoma State,2012,CLE,1,22,WeedBr00,35,15,6.857142857,75.5,221,27,4.89,NA,NA,NA,NA,NA,NA,NA
644,Chris Borland,LB,Wisconsin,2014,SF,3,77,BorlCh00,14,6,6.857142857,71.5,248,32,4.83,27,31,113,4.27,7.18,NA,NA
645,Darius Slayton,WR,Auburn,2019,NYG,5,171,SlayDa01,14,6,6.857142857,73,190,NA,4.39,11,40.5,135,4.15,7,NA,NA
646,J.D. Walton,OL,Baylor,2010,DEN,3,80,WaltJ.20,56,24,6.857142857,74.625,300,NA,5.19,24,27,101,4.69,7.6,NA,NA
647,Javon Hargrave,DL,South Carolina State,2016,PIT,3,89,HargJa00,63,27,6.857142857,73.375,309,NA,4.93,29,34.5,109,4.7,7.9,NA,NA
648,Koa Misi,LB,Utah,2010,MIA,2,40,MisiKo99,84,36,6.857142857,74.625,251,NA,4.75,NA,38,127,4.27,7.07,NA,NA
649,Mike Williams,WR,Syracuse,2010,TB,4,101,WillMi04,63,27,6.857142857,73.5,221,NA,4.53,8,33.5,116,4.31,6.9,NA,NA
650,Sedrick Ellis,DL,Southern California,2008,NO,1,7,ElliSe99,70,30,6.857142857,72.5,309,NA,5.31,34,26.5,105,4.73,7.78,NA,NA
651,Jeremy Zuttah,OL,Rutgers,2008,TB,3,83,ZuttJe20,131,56,6.839694656,75.375,303,NA,5.07,35,26.5,107,4.54,7.59,NA,NA
652,Mychal Kendricks,LB,California,2012,PHI,2,46,KendMy00,103,44,6.834951456,71.125,239,NA,4.44,24,39.5,127,4.19,NA,NA,NA
653,Channing Crowder,LB,Florida,2005,MIA,3,70,CrowCh20,82,35,6.829268293,74.25,252,NA,NA,NA,NA,NA,NA,NA,NA,NA
654,Dhani Jones,LB,Michigan,2000,NYG,6,177,JoneDh20,157,67,6.828025478,73.1,240,NA,4.69,29,NA,NA,NA,NA,NA,NA
655,Ben Leber,LB,Kansas State,2002,SD,3,71,LebeBe20,143,61,6.825174825,75,244,NA,4.62,20,32.5,114,4.25,6.75,NA,NA
656,Dallas Clark,TE,Iowa,2003,IND,1,24,ClarDa00,143,61,6.825174825,75.4,257,NA,4.65,NA,37.5,123,NA,NA,1,1
657,Chad Henne,QB,Michigan,2008,MIA,2,57,HennCh01,68,29,6.823529412,74.88,230,22,4.95,NA,25.5,106,4.4,7.17,NA,NA
658,Roy Williams,WR,NA,2004,DET,1,7,WillRo04,115,49,6.817391304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,Matt Jones,WR,NA,2005,JAX,1,21,JoneMa00,54,23,6.814814815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
660,Tatum Bell,RB,Oklahoma State,2004,DEN,2,41,BellTa00,54,23,6.814814815,71,212,NA,4.39,25,38.5,117,NA,NA,NA,NA
661,Breno Giacomini,OL,Louisville,2008,GB,5,150,GiacBr20,94,40,6.808510638,79.125,303,NA,5.24,23,22.5,108,4.63,7.56,NA,NA
662,Giovani Bernard,RB,North Carolina,2013,CIN,2,37,BernGi00,99,42,6.787878788,68.375,202,25,4.53,19,33.5,122,4.12,6.91,NA,NA
663,Max Starks,OL,Florida,2004,PIT,3,75,StarMa21,125,53,6.784,79,350,NA,5.43,21,27.5,98,4.65,7.88,NA,NA
664,Robert Gallery,OL,Iowa,2004,OAK,1,2,GallRo20,104,44,6.769230769,79.1,323,NA,4.97,24,30,105,4.38,7.42,NA,NA
665,Kawika Mitchell,LB,South Florida,2003,KC,2,47,MitcKa20,97,41,6.762886598,73,253,NA,4.69,25,37,117,4.24,7.32,NA,NA
666,Shaquill Griffin,DB,NA,2017,SEA,3,90,GrifSh00,45,19,6.755555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
667,Cody Whitehair,OL,Kansas State,2016,CHI,2,56,WhitCo03,64,27,6.75,75.75,301,NA,5.02,16,25.5,110,4.58,7.32,NA,NA
668,Manuel Ramirez,OL,Texas Tech,2007,DET,4,117,RamiMa20,83,35,6.746987952,75,326,NA,5.24,40,NA,NA,NA,NA,NA,NA
669,Vernon Carey,OL,Miami (FL),2004,MIA,1,19,CareVe20,121,51,6.743801653,76.4,335,NA,5.32,30,NA,NA,NA,NA,NA,NA
670,Frank Clark,DL,Michigan,2015,SEA,2,63,ClarFr01,76,32,6.736842105,74.875,271,NA,4.79,19,38.5,118,4.05,7.08,1,NA
671,Michael Schofield,OL,Michigan,2014,DEN,3,95,SchoMi00,76,32,6.736842105,78.5,301,NA,5.01,NA,24,92,4.57,7.62,NA,NA
672,William Moore,DB,Missouri,2009,ATL,2,55,MoorWi99,76,32,6.736842105,72.13,221,NA,4.56,16,37,123,4.26,6.81,1,NA
673,Ken Hamlin,DB,Arkansas,2003,SEA,2,42,HamlKe20,107,45,6.728971963,74.5,209,NA,4.6,16,33,117,3.92,6.78,1,NA
674,Mason Foster,LB,Washington,2011,TB,3,84,FostMa00,107,45,6.728971963,73.25,245,NA,4.75,22,31,110,4.45,7.14,NA,NA
675,T.J. Ward,DB,Oregon,2010,CLE,2,38,WardT.99,107,45,6.728971963,70.5,211,NA,4.56,19,34,121,NA,NA,2,NA
676,Bradie James,LB,Louisiana State,2003,DAL,4,103,JameBr20,157,66,6.72611465,74.4,242,NA,4.71,NA,32.5,113,4.52,7.53,NA,NA
677,Chris Chester,OL,Oklahoma,2006,BAL,2,56,ChesCh21,169,71,6.721893491,75.375,303,NA,4.91,27,31.5,106,4.5,7.31,NA,NA
678,Dominic Raiola,OL,Nebraska,2001,DET,2,50,RaioDo20,219,92,6.721461187,74,307,NA,5.13,29,33,108,4.35,7.55,NA,NA
679,Emmanuel Ogbah,DL,Oklahoma State,2016,CLE,2,32,OgbaEm00,50,21,6.72,76.25,273,NA,4.63,20,35.5,121,4.5,7.26,NA,NA
680,Rick DeMulling,OL,Idaho,2001,IND,7,220,DeMuRi20,81,34,6.716049383,75.9,307,NA,5.29,32,31.5,108,4.6,7.62,NA,NA
681,Braylon Edwards,WR,Michigan,2005,CLE,1,3,EdwaBr00,112,47,6.714285714,74.875,211,NA,4.45,22,NA,NA,NA,NA,1,1
682,Scott Fujita,LB,California,2002,KC,5,143,FujiSc20,143,60,6.713286713,77.5,248,NA,4.63,20,42,122,4.21,7.09,NA,NA
683,Antrel Rolle,DB,Miami (FL),2005,ARI,1,8,RollAn20,155,65,6.709677419,72.125,201,NA,4.5,15,NA,NA,NA,NA,NA,NA
684,Frank Ragnow,OL,Arkansas,2018,DET,1,20,RagnFr00,31,13,6.709677419,77.125,312,NA,NA,26,NA,NA,NA,NA,NA,NA
685,Randy Starks,DL,Maryland,2004,TEN,3,71,StarRa20,186,78,6.709677419,75.4,314,NA,5.03,27,29.5,102,NA,NA,1,NA
686,Russell Bodine,OL,North Carolina,2014,CIN,4,111,BodiRu00,74,31,6.702702703,75.125,310,NA,5.18,42,29,109,4.66,8.26,NA,NA
687,Red Bryant,DL,Texas A&M,2008,SEA,4,121,BryaRe99,86,36,6.697674419,76.13,318,NA,5.06,20,28,111,4.64,7.75,NA,NA
688,Spencer Ware,RB,Louisiana State,2013,SEA,6,194,WareSp00,43,18,6.697674419,70.125,228,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,Ryan Jensen,OL,Colorado State-Pueblo,2013,BAL,6,203,JensRy00,67,28,6.686567164,75.5,317,NA,NA,NA,NA,NA,NA,NA,NA,NA
690,Na'il Diggs,LB,NA,2000,GB,4,98,DiggNa20,170,71,6.682352941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,LaRon Landry,DB,Louisiana State,2007,WAS,1,6,LandLa99,103,43,6.67961165,72.5,213,NA,4.38,NA,37.5,123,NA,NA,NA,NA
692,Jeff Driskel,QB,Louisiana Tech,2016,SF,6,207,DrisJe00,12,5,6.666666667,76,234,NA,4.56,NA,32,122,4.25,7.19,NA,NA
693,John Miller,OL,Louisville,2015,BUF,3,81,MillJo04,60,25,6.666666667,74.5,303,14,5.33,29,27,104,4.75,8.2,NA,NA
694,Jordan Jenkins,LB,Georgia,2016,NYJ,3,83,JenkJo01,60,25,6.666666667,74.625,259,NA,4.8,16,36.5,121,NA,NA,NA,NA
695,Michael Griffin,DB,Texas,2007,TEN,1,19,GrifMi99,154,64,6.649350649,71.75,202,NA,4.48,16,36,120,4.1,6.6,NA,NA
696,Connor Barwin,DL,NA,2009,HOU,2,46,BarwCo99,142,59,6.647887324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
697,Corey Liuget,DL,Illinois,2011,SD,1,18,LiugCo00,118,49,6.644067797,74.125,298,NA,4.97,27,27.5,102,4.68,7.48,NA,NA
698,Sterling Shepard,WR,Oklahoma,2016,NYG,2,40,ShepSt00,53,22,6.641509434,70.25,194,NA,4.48,20,41,123,4.35,7,NA,NA
699,Bud Dupree,LB,NA,2015,PIT,1,22,DuprAl00,70,29,6.628571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
700,Jermichael Finley,TE,Texas,2008,GB,3,91,FinlJe00,70,29,6.628571429,76.5,243,NA,4.86,20,27.5,117,4.38,7.15,NA,NA
701,Tank Williams,DB,Stanford,2002,TEN,2,45,WillTa20,70,29,6.628571429,74.4,222,NA,4.41,19,38.5,119,3.93,6.78,NA,NA
702,Chad Rinehart,OL,Northern Iowa,2008,WAS,3,96,RineCh20,58,24,6.620689655,77,320,NA,5.51,26,28.5,106,4.56,7.84,NA,NA
703,John Brown,WR,Pittsburg State (KS),2014,ARI,3,91,BrowJo02,87,36,6.620689655,70,179,NA,4.34,NA,36.5,117,4.12,6.91,NA,NA
704,Sony Michel,RB,Georgia,2018,NE,1,31,MichSo00,29,12,6.620689655,70.625,214,NA,4.54,22,NA,NA,4.21,NA,NA,NA
705,Glenn Dorsey,DL,Louisiana State,2008,KC,1,5,DorsGl99,104,43,6.615384615,73.5,297,NA,NA,NA,NA,NA,NA,NA,NA,NA
706,Danny Shelton,DL,Washington,2015,CLE,1,12,ShelDa01,75,31,6.613333333,74.125,339,23,5.64,34,30.5,95,4.65,7.99,NA,NA
707,Ereck Flowers,OL,Miami (FL),2015,NYG,1,9,FlowEr00,75,31,6.613333333,78.25,329,NA,5.31,37,NA,NA,NA,NA,NA,NA
708,Andre Carter,DL,California,2001,SF,1,7,CartAn20,184,76,6.608695652,76.4,249,NA,4.84,20,38.5,132,4.24,NA,1,NA
709,Dewayne Robertson,DL,NA,2003,NYJ,1,4,RobeDe20,92,38,6.608695652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,Michael Johnson,DL,Georgia Tech,2009,CIN,3,70,JohnMi98,155,64,6.606451613,78.875,266,NA,4.69,28,38.5,128,4.37,7.42,NA,NA
711,Ahtyba Rubin,DL,Iowa State,2008,CLE,6,190,RubiAh99,143,59,6.601398601,74.75,315,NA,5.26,35,28,106,5,8.05,NA,NA
712,Evan Engram,TE,Mississippi,2017,NYG,1,23,EngrEv00,34,14,6.588235294,75.125,234,26,4.42,19,36,125,4.23,6.92,NA,NA
713,Larry Foote,LB,Michigan,2002,PIT,4,128,FootLa20,187,77,6.588235294,72.9,231,NA,4.85,24,30,NA,4.41,7.18,NA,NA
714,Antoine Bethea,DB,Howard (DC),2006,IND,6,207,BethAn20,209,86,6.583732057,71,203,NA,4.42,19,36.5,127,4.11,6.99,2,NA
715,Anthony Hitchens,LB,Iowa,2014,DAL,4,119,HitcAn00,90,37,6.577777778,72.375,240,NA,4.74,23,31.5,115,4.45,7.15,NA,NA
716,C.J. Spiller,RB,Clemson,2010,BUF,1,9,SpilC.00,90,37,6.577777778,70.625,196,10,4.27,18,NA,NA,NA,NA,1,1
717,Chris Kuper,OL,North Dakota,2006,DEN,5,161,KupeCh20,90,37,6.577777778,76.375,301,NA,5.12,24,30,109,4.6,7.59,NA,NA
718,Clint Ingram,LB,Oklahoma,2006,JAX,3,80,IngrCl20,56,23,6.571428571,73.75,244,NA,4.65,22,41,NA,4.1,7.12,NA,NA
719,Denzel Perryman,LB,Miami (FL),2015,SD,2,48,PerrDe00,56,23,6.571428571,70.75,236,17,4.78,27,32,113,NA,NA,NA,NA
720,Jarran Reed,DL,Alabama,2016,SEA,2,49,ReedJa02,56,23,6.571428571,74.875,307,NA,5.21,NA,31,104,4.75,7.77,NA,NA
721,Tyler Boyd,WR,Pittsburgh,2016,CIN,2,55,BoydTy00,56,23,6.571428571,73.5,197,NA,4.58,11,34,119,4.35,6.9,NA,NA
722,Alex Okafor,DL,Texas,2013,ARI,4,103,OkafAl00,78,32,6.564102564,76.5,264,NA,4.78,21,NA,NA,NA,NA,NA,NA
723,Kellen Winslow,TE,Miami (FL),2004,CLE,1,6,WinsKe01,105,43,6.552380952,75.9,251,NA,4.62,24,NA,120,NA,NA,2,1
724,Dashon Goldson,DB,Washington,2007,SF,4,126,GoldDa99,127,52,6.551181102,74,205,NA,4.64,12,34.5,115,4.46,7.37,2,NA
725,Deltha O'Neal,DB,NA,2000,DEN,1,15,ONeaDe00,132,54,6.545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726,Ian Gold,LB,Michigan,2000,DEN,2,40,GoldIa00,115,47,6.539130435,73.1,221,NA,4.58,21,33,115,4.19,6.97,NA,NA
727,Eugene Monroe,OL,Virginia,2009,JAX,1,8,MonrEu20,93,38,6.537634409,77.25,309,24,5.18,23,28.5,110,4.78,7.86,NA,NA
728,Latavius Murray,RB,Central Florida,2013,OAK,6,181,MurrLa00,93,38,6.537634409,74.625,223,NA,NA,NA,NA,NA,NA,NA,1,NA
729,Pisa Tinoisamoa,LB,Hawaii,2003,STL,2,43,TinoPi20,98,40,6.530612245,72.4,231,NA,4.69,19,34.5,111,4.07,6.95,NA,NA
730,A.J. Cann,OL,South Carolina,2015,JAX,3,67,CannA.00,76,31,6.526315789,74.75,313,NA,5.18,26,NA,NA,NA,NA,NA,NA
731,Trent Murphy,LB,NA,2014,WAS,2,47,MurpTr00,76,31,6.526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,Bilal Nichols,DL,Delaware,2018,CHI,5,145,NichBi00,27,11,6.518518519,75.75,306,NA,4.95,29,NA,NA,NA,NA,NA,NA
733,Joey Harrington,QB,Oregon,2002,DET,1,3,HarrJo00,81,33,6.518518519,76,215,32,4.85,NA,32,107,4.21,7,NA,NA
734,Nate Burleson,WR,Nevada,2003,MIN,3,71,BurlNa00,135,55,6.518518519,73,197,NA,4.51,NA,42.5,126,4.16,6.96,NA,NA
735,Terrance Knighton,DL,Temple,2009,JAX,3,72,KnigTe99,108,44,6.518518519,75,321,NA,5.21,NA,28,103,4.78,7.9,NA,NA
736,Will Witherspoon,LB,Georgia,2002,CAR,3,73,WithWi20,189,77,6.518518519,73.5,231,NA,4.63,25,38,120,4.21,7.09,NA,NA
737,Kiko Alonso,LB,Oregon,2013,BUF,2,46,AlonKi00,86,35,6.511627907,75.375,238,NA,NA,NA,NA,NA,NA,NA,NA,NA
738,Derrick Morgan,DL,Georgia Tech,2010,TEN,1,16,MorgDe99,118,48,6.508474576,75,266,NA,4.77,NA,34,112,4.43,7.12,NA,NA
739,B.J. Raji,DL,Boston College,2009,GB,1,9,RajiBJ99,91,37,6.505494505,73.5,337,NA,5.12,33,32,103,4.69,7.9,1,NA
740,Cedric Benson,RB,Texas,2005,CHI,1,4,BensCe00,96,39,6.5,70.5,222,NA,NA,NA,NA,NA,NA,NA,NA,NA
741,Ha Ha Clinton-Dix,DB,NA,2014,GB,1,21,ClinHa00,96,39,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
742,Koren Robinson,WR,North Carolina State,2001,SEA,1,9,RobiKo00,96,39,6.5,73.5,211,NA,4.61,NA,38.5,123,NA,NA,1,1
743,Patrick Ramsey,QB,Tulane (LA),2002,WAS,1,32,RamsPa00,37,15,6.486486486,74.5,219,32,5.24,NA,33.5,111,4.09,7.12,NA,NA
744,Byron Jones,DB,Connecticut,2015,DAL,1,27,JoneBy00,79,32,6.481012658,72.625,199,33,4.49,NA,44.5,147,3.94,6.78,1,1
745,Vontae Davis,DB,Illinois,2009,MIA,1,25,DaviVo99,121,49,6.479338843,71.125,203,NA,4.4,25,36,125,4.07,6.75,2,1
746,Darwin Walker,DL,NA,2000,ARI,3,71,WalkDa21,109,44,6.458715596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747,Bruce Irvin,DL,NA,2012,SEA,1,15,IrviBr00,119,48,6.453781513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,Kabeer Gbaja-Biamila,DL,NA,2000,GB,5,149,GbajKa20,124,50,6.451612903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
749,Mike Patterson,DL,Southern California,2005,PHI,1,31,PattMi20,147,59,6.421768707,71.625,292,NA,5.08,26,NA,NA,NA,NA,NA,NA
750,Bryan Thomas,DL,Alabama-Birmingham,2002,NYJ,1,22,ThomBr21,157,63,6.420382166,76.4,266,NA,4.52,33,34.5,NA,NA,NA,NA,NA
751,Donte Whitner,DB,Ohio State,2006,BUF,1,8,WhitDo20,157,63,6.420382166,70.1,204,NA,4.44,18,40,132,NA,NA,1,1
752,Ryan Pickett,DL,NA,2001,STL,1,29,PickRy20,207,83,6.415458937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
753,Anthony Gonzalez,WR,Ohio State,2007,IND,1,32,GonzAn00,40,16,6.4,72,193,NA,4.46,NA,38,123,4.08,6.54,NA,NA
754,Brandon LaFell,WR,Louisiana State,2010,CAR,3,78,LaFeBr00,125,50,6.4,74.5,211,NA,4.58,NA,36,115,4.23,6.81,NA,NA
755,Brandon Linder,OL,Miami (FL),2014,JAX,3,93,LindBr00,70,28,6.4,77.625,311,NA,5.35,30,26.5,99,NA,NA,NA,NA
756,Bryce Petty,QB,Baylor,2015,NYJ,4,103,PettBr01,10,4,6.4,74.875,230,31,4.87,NA,34,121,4.13,6.91,NA,NA
757,Casey Hayward,DB,Vanderbilt,2012,GB,2,62,HaywCa00,115,46,6.4,71.375,192,NA,4.47,19,34,119,3.9,6.76,2,4
758,Damion McIntosh,OL,Kansas State,2000,SD,3,83,McInDa20,125,50,6.4,75.9,328,NA,5.35,23,26,97,4.71,7.72,NA,NA
759,Dawan Landry,DB,Georgia Tech,2006,BAL,5,146,LandDa21,130,52,6.4,72.88,220,NA,4.69,18,37.5,124,4.27,NA,NA,NA
760,Eric Winston,OL,Miami (FL),2006,HOU,3,66,WinsEr20,165,66,6.4,78.6,310,NA,4.96,NA,29,108,4.44,7.47,NA,NA
761,Geno Smith,QB,West Virginia,2013,NYJ,2,39,SmitGe00,40,16,6.4,74.375,218,24,4.58,NA,33.5,124,NA,NA,NA,NA
762,Jaye Howard,DL,Florida,2012,SEA,4,114,HowaJa00,45,18,6.4,75,301,NA,4.78,24,27.5,106,4.47,7.32,NA,NA
763,Jeremy Hill,RB,Louisiana State,2014,CIN,2,55,HillJe01,55,22,6.4,72.625,233,NA,4.56,20,29,112,NA,NA,NA,NA
764,Jordan Reed,TE,Florida,2013,WAS,3,85,ReedJo02,65,26,6.4,74.5,236,NA,4.72,16,NA,NA,NA,NA,1,NA
765,Julie'n Davenport,OL,Bucknell (PA),2017,HOU,4,130,DaveJu00,35,14,6.4,78.75,318,28,5.45,18,27,106,4.69,7.57,NA,NA
766,Matt Jones,RB,Florida,2015,WAS,3,95,JoneMa04,25,10,6.4,74.375,231,NA,4.61,20,31.5,112,4.2,NA,NA,NA
767,Shaq Thompson,LB,Washington,2015,CAR,1,25,ThomSh01,70,28,6.4,72.125,228,NA,4.64,NA,33.5,117,4.08,6.99,NA,NA
768,Sylvester Morris,WR,Jackson State (MS),2000,KC,1,21,MorrSy00,15,6,6.4,75,216,NA,4.63,NA,34.5,119,4.17,7.06,NA,NA
769,Thomas Howard,LB,Texas-El Paso,2006,OAK,2,38,HowaTh20,95,38,6.4,75.25,239,NA,4.46,21,39,124,4.28,6.96,NA,NA
770,Travis Swanson,OL,Arkansas,2014,DET,3,76,SwanTr00,65,26,6.4,77,312,NA,5.28,20,26,93,4.65,7.73,NA,NA
771,Tre Flowers,DB,Oklahoma State,2018,SEA,5,146,FlowTr01,30,12,6.4,75.25,200,NA,4.45,18,34.5,122,NA,NA,NA,NA
772,Will Dissly,TE,Washington,2018,SEA,4,120,DissWi00,10,4,6.4,75.75,262,NA,4.87,15,28,111,4.4,7.07,NA,NA
773,Will Whitticker,OL,NA,2005,GB,7,246,WhitWi25,15,6,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
774,Willie Blade,DL,NA,2001,DAL,3,93,BladWi20,20,8,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
775,Akin Ayodele,LB,Purdue,2002,JAX,3,89,AyodAk20,143,57,6.377622378,74.1,257,NA,4.86,26,35,119,4.12,7,NA,NA
776,Charles Johnson,DL,Georgia,2007,CAR,3,83,JohnCh98,143,57,6.377622378,74.25,270,NA,4.85,33,34,118,NA,7.5,NA,1
777,Mike Anderson,RB,NA,2000,DEN,6,189,AndeMi00,98,39,6.367346939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
778,Devon Kennard,DL,NA,2014,NYG,5,174,KennDe00,83,33,6.361445783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
779,James Jones,WR,San Jose State,2007,GB,3,78,JoneJa04,136,54,6.352941176,72.75,207,NA,4.58,22,34,119,4.2,7.06,NA,NA
780,Lito Sheppard,DB,NA,2002,PHI,1,26,ShepLi99,126,50,6.349206349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
781,David Thornton,LB,North Carolina,2002,IND,4,106,ThorDa20,121,48,6.347107438,73.9,236,NA,4.66,26,35.5,116,4.09,6.93,NA,NA
782,Barrett Ruud,LB,Nebraska,2005,TB,2,36,RuudBa20,116,46,6.344827586,74.5,241,NA,4.76,25,34.5,108,3.94,7.22,NA,NA
783,David Givens,WR,Notre Dame,2002,NE,7,253,GiveDa00,58,23,6.344827586,72,217,NA,4.57,NA,40.5,124,4.13,6.82,NA,NA
784,Josh Norman,DB,Coastal Carolina (SC),2012,CAR,5,143,NormJo01,111,44,6.342342342,72.25,197,NA,4.61,14,33,124,4.23,7.09,NA,1
785,Antonio Bryant,WR,Pittsburgh,2002,DAL,2,63,BryaAn00,106,42,6.339622642,73.3,188,NA,4.6,NA,37,118,NA,NA,NA,NA
786,Tutan Reyes,OL,Mississippi,2000,NO,5,131,ReyeTu20,53,21,6.339622642,75.3,299,NA,5.38,20,26.5,99,4.88,7.49,NA,NA
787,Eric Ghiaciuc,OL,Central Michigan,2005,CIN,4,119,GhiaEr20,48,19,6.333333333,76,302,NA,5.14,30,32,102,4.56,7.87,NA,NA
788,Eric Heitmann,OL,Stanford,2002,SF,7,239,HeitEr20,119,47,6.319327731,75.9,305,NA,5.25,33,28,94,4.6,7.56,NA,NA
789,James Starks,RB,Buffalo,2010,GB,6,193,StarJa00,76,30,6.315789474,74.125,218,NA,4.5,15,36,119,4.23,6.89,NA,NA
790,Jonathan Martin,OL,Stanford,2012,MIA,2,42,MartJo01,38,15,6.315789474,77.375,312,NA,5.35,NA,NA,NA,NA,NA,NA,NA
791,Leon Hall,DB,Michigan,2007,CIN,1,18,HallLe98,152,60,6.315789474,71.25,193,NA,4.42,15,37.5,125,4.07,6.5,NA,1
792,Tony Pashos,OL,Illinois,2003,BAL,5,173,PashTo20,104,41,6.307692308,78,337,NA,5.3,38,NA,NA,NA,NA,NA,NA
793,Uche Nwaneri,OL,Purdue,2007,JAX,5,149,NwanUc20,104,41,6.307692308,75.13,325,NA,5.42,24,NA,NA,NA,NA,NA,NA
794,Greg Olsen,TE,Miami (FL),2007,CHI,1,31,OlseGr00,188,74,6.29787234,77.88,254,NA,4.53,23,35.5,114,4.48,7.04,3,3
795,D.J. Reader,DL,Clemson,2016,HOU,5,166,ReadD.00,61,24,6.295081967,74.625,327,NA,5.33,30,29.5,99,4.71,7.9,NA,1
796,Bennie Logan,DL,Louisiana State,2013,PHI,3,67,LogaBe00,89,35,6.292134831,73.875,309,NA,5.08,30,25,104,4.67,7.53,NA,NA
797,Roberto Garza,OL,Texas A&M-Kingsville,2001,ATL,4,99,GarzRo20,206,81,6.291262136,74.1,303,NA,5.01,37,32.5,114,4.53,7.71,NA,NA
798,Sean Locklear,OL,North Carolina State,2004,SEA,3,84,LockSe20,117,46,6.290598291,76,308,NA,5.19,27,29,100,4.56,7.85,NA,NA
799,Kamerion Wimbley,DL,Florida State,2006,CLE,1,13,WimbKa20,140,55,6.285714286,75.88,248,NA,4.64,24,38.5,129,4.48,6.97,NA,NA
800,Kirk Morrison,LB,San Diego State,2005,OAK,3,78,MorrKi20,112,44,6.285714286,73,235,NA,4.69,25,NA,NA,4.31,NA,NA,NA
801,Will Allen,DB,Syracuse,2001,NYG,1,22,AlleWi20,140,55,6.285714286,70.5,192,NA,4.44,14,39.5,121,3.9,6.78,NA,NA
802,Bobbie Williams,OL,NA,2000,PHI,2,61,WillBo21,163,64,6.282208589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803,Gerard Warren,DL,NA,2001,CLE,1,3,WarrGe20,163,64,6.282208589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,Zach Strief,OL,Northwestern,2006,NO,7,210,StriZa20,158,62,6.278481013,79.63,330,NA,5.45,19,21,94,4.83,8.01,NA,NA
805,Kenechi Udeze,DL,NA,2004,MIN,1,20,UdezKe20,51,20,6.274509804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
806,Chris Canty,DL,Virginia,2005,DAL,4,132,CantCh21,148,58,6.27027027,79.25,279,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,Manny Lawson,DL,NA,2006,SF,1,22,LawsMa20,143,56,6.265734266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
808,Barry Cofield,DL,Northwestern,2006,NYG,4,124,CofiBa20,138,54,6.260869565,76,304,NA,5,35,34,105,4.35,7.43,NA,NA
809,Donte' Stallworth,WR,NA,2002,NO,1,13,StalDo00,115,45,6.260869565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,Jayon Brown,LB,NA,2017,TEN,5,155,BrowJa06,46,18,6.260869565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,Ken Lucas,DB,NA,2001,SEA,2,40,LucaKe20,138,54,6.260869565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,Lawrence Guy,DL,Arizona State,2011,GB,7,233,GuyxLa00,115,45,6.260869565,76.125,305,NA,4.96,28,29,NA,4.43,7.6,NA,NA
813,Reggie Hayward,DL,Iowa State,2001,DEN,3,87,HaywRe20,92,36,6.260869565,77,255,NA,4.9,21,41,127,4.43,7.43,NA,NA
814,Trent Richardson,RB,Alabama,2012,CLE,1,3,RichTr00,46,18,6.260869565,69.25,228,NA,4.49,NA,NA,NA,NA,NA,NA,NA
815,Nathan Vasher,DB,NA,2004,CHI,4,110,VashNa99,87,34,6.252873563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
816,Michael Lewis,DB,Colorado,2002,PHI,2,58,LewiMi99,128,50,6.25,73.1,211,NA,4.56,16,36.5,121,4.14,6.96,1,1
