"","Year","Name","College","Position","Height","Weight","Wonderlic","X40YD","Bench","Vert","Broad","Shuttle","X3Cone","ProBowls","AllPros","Success"
"2666",2013,"Justin Hunter","Tennessee","WR",76,196,12,4.44,NA,39.5,136,4.33,NA,0,0,0
"2667",2013,"Charles Johnson","","WR",74,215,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2668",2013,"Darius Johnson","Southern Methodist (TX)","WR",69,179,NA,4.6,6,32,109,4.53,NA,0,0,0
"2669",2013,"Brandon Kaufman","Eastern Washington","WR",77,216,NA,4.67,9,33.5,115,4.44,7.11,0,0,0
"2670",2013,"Tavarres King","Georgia","WR",72.25,189,NA,4.47,11,36.5,123,4.33,6.91,0,0,0
"2671",2013,"Alec Lemon","Syracuse","WR",73.25,202,NA,4.59,7,32,112,4.29,7.04,0,0,0
"2672",2013,"Aaron Mellette","Elon (NC)","WR",74.375,217,NA,4.54,9,33.5,123,4.41,7.11,0,0,0
"2673",2013,"T.J. Moe","Missouri","WR",71.5,204,NA,4.74,26,36,120,3.96,6.53,0,0,0
"2674",2013,"Quinton Patton","Louisiana Tech","WR",72,204,NA,4.53,8,33,118,4.01,6.91,0,0,0
"2675",2013,"Denard Robinson","Michigan","WR",70.5,199,NA,4.43,NA,36.5,123,4.22,7.09,0,0,0
"2676",2013,"DaRick Rogers","Tennessee Tech","WR",74.5,217,NA,4.52,10,39.5,132,4.06,6.71,0,0,0
"2677",2013,"Zach Rogers","Tennessee","WR",72.125,182,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2678",2013,"Lanear Sampson","Baylor","WR",71.125,204,NA,4.46,20,33.5,119,4.38,7.1,0,0,0
"2679",2013,"Ace Sanders","South Carolina","WR",67,173,NA,4.58,7,32,117,4.37,6.81,0,0,0
"2680",2013,"Mike Smith","Kansas","WR",72,197,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2681",2013,"Rodney Smith","Florida State","WR",76.375,225,NA,4.51,NA,34.5,120,4.07,7.03,0,0,0
"2682",2013,"Ryan Spadola","Lehigh (PA)","WR",73.25,204,NA,4.48,15,33.5,119,4.07,6.72,0,0,0
"2683",2013,"Kenny Stills","Oklahoma","WR",72.5,194,NA,4.38,16,33.5,124,4.35,NA,0,0,0
"2684",2013,"Ryan Swope","Texas A&M","WR",72.125,205,NA,4.34,16,37,125,4.25,6.76,0,0,0
"2685",2013,"Kenbrell Thompkins","Cincinnati","WR",72.625,193,NA,4.54,8,33.5,121,4.21,6.88,0,0,0
"2686",2013,"Conner Vernon","Duke","WR",72.25,196,NA,4.68,NA,32.5,125,4.22,6.93,0,0,0
"2687",2013,"Markus Wheaton","Oregon State","WR",71,189,NA,4.45,20,37,120,4.02,6.8,0,0,0
"2688",2013,"Terrance Williams","Baylor","WR",74,208,NA,4.52,11,32.5,119,4.32,7.01,0,0,0
"2689",2013,"Marquess Wilson","Washington State","WR",74.625,194,NA,4.51,7,34.5,122,4.33,6.65,0,0,0
"2690",2013,"Robert Woods","Southern California","WR",72.375,201,23,4.51,14,33.5,117,4.47,7.15,0,0,0
"2691",2012,"Joe Adams","Arkansas","WR",70.625,179,NA,4.51,NA,36,123,NA,7.09,0,0,0
"2692",2012,"Tim Benford","Tennessee Tech","WR",71.25,205,NA,4.51,15,NA,NA,NA,NA,0,0,0
"2693",2012,"Travis Benjamin","Miami (FL)","WR",69.875,172,NA,4.31,14,38,119,NA,NA,0,0,0
"2694",2012,"Justin Blackmon","Oklahoma State","WR",72.875,207,NA,4.48,14,NA,NA,NA,NA,0,0,0
"2695",2012,"Jarrett Boykin","Virginia Tech","WR",73.75,217,NA,4.62,11,36,123,4.28,7.12,0,0,0
"2696",2012,"LaVon Brazill","Ohio","WR",70.625,192,NA,4.43,11,32.5,NA,NA,NA,0,0,0
"2697",2012,"Ryan Broyles","Oklahoma","WR",70.125,192,NA,4.57,21,NA,NA,NA,NA,0,0,0
"2698",2012,"Brandon Carswell","Southern California","WR",73,201,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2699",2012,"Greg Childs","Arkansas","WR",75.125,219,NA,4.52,19,36.5,125,NA,NA,0,0,0
"2700",2012,"Toney Clemons","Colorado","WR",74.125,210,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2701",2012,"Danny Coale","Virginia Tech","WR",71.875,201,NA,4.42,12,35,115,4.15,6.69,0,0,0
"2702",2012,"Josh Cooper","Oklahoma State","WR",70.625,190,NA,4.65,11,NA,NA,NA,NA,0,0,0
"2703",2012,"Juron Criner","Arizona","WR",74.5,224,NA,4.66,17,38,117,4.3,7.15,0,0,0
"2704",2012,"B.J. Cunningham","Michigan State","WR",73.375,211,NA,4.52,12,31.5,116,NA,7.1,0,0,0
"2705",2012,"Jeremy Ebert","Northwestern","WR",70.75,200,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2706",2012,"Patrick Edwards","Houston","WR",69.25,172,NA,4.58,NA,NA,NA,NA,NA,0,0,0
"2707",2012,"Michael Floyd","Notre Dame","WR",74.625,220,NA,4.4,16,36.5,122,NA,NA,0,0,0
"2708",2012,"Jeff Fuller","Texas A&M","WR",76.125,223,NA,4.58,17,NA,NA,NA,NA,0,0,0
"2709",2012,"Chris Givens","Wake Forest","WR",71.125,198,NA,4.35,19,33.5,118,4.23,6.97,0,0,0
"2710",2012,"T.J. Graham","North Carolina State","WR",71.375,188,NA,4.34,8,33.5,120,4.18,6.77,0,0,0
"2711",2012,"Darius Hanks","Alabama","WR",71.625,184,NA,4.52,11,34,117,NA,NA,0,0,0
"2712",2012,"Junior Hemingway","Michigan","WR",72.875,225,NA,4.48,21,35.5,124,3.98,6.59,0,0,0
"2713",2012,"Stephen Hill","Georgia Tech","WR",76,215,NA,4.28,14,39.5,133,4.48,6.88,0,0,0
"2714",2012,"Jerrell Jackson","Missouri","WR",72.25,196,NA,4.5,22,41,127,4.11,6.82,0,0,0
"2715",2012,"A.J. Jenkins","Illinois","WR",72.25,190,NA,4.37,12,38.5,124,NA,NA,0,0,0
"2716",2012,"Dwight Jones","North Carolina","WR",75.25,230,NA,4.51,14,33,109,NA,NA,0,0,0
"2717",2012,"Marvin Jones","California","WR",73.875,199,NA,4.46,22,33,112,4.11,6.81,0,0,0
"2718",2012,"Jermaine Kearse","Washington","WR",72.875,209,NA,4.5,14,34,119,4.12,7.03,0,0,0
"2719",2012,"Keshawn Martin","Michigan State","WR",71.5,188,NA,4.42,13,39.5,122,4.13,6.85,0,0,0
"2720",2012,"Rishard Matthews","Nevada","WR",72.375,217,NA,4.54,20,36,NA,4.19,6.88,0,0,0
"2721",2012,"Marquis Maze","Alabama","WR",68.125,186,NA,4.51,NA,33.5,112,NA,NA,0,0,0
"2722",2012,"Marvin McNutt","Iowa","WR",74.75,216,NA,4.48,NA,37,122,4.07,7.15,0,0,0
"2723",2012,"Kashif Moore","Connecticut","WR",69,180,NA,4.36,19,43.5,126,4.05,6.82,0,0,0
"2724",2012,"Derek Moye","Penn State","WR",76.25,209,NA,4.46,10,33.5,115,4.23,NA,0,0,0
"2725",2012,"Chris Owusu","Stanford","WR",72.125,196,NA,4.31,19,40.5,129,4.11,6.85,0,0,0
"2726",2012,"Eric Page","Toledo","WR",68.875,186,NA,4.5,15,30,112,3.98,6.95,0,0,0
"2727",2012,"DeVier Posey","Ohio State","WR",73.625,211,NA,4.39,14,36.5,123,4.15,7.03,0,0,0
"2728",2012,"Brian Quick","Appalachian State (NC)","WR",75.5,220,NA,4.5,15,34,119,4.23,7.1,0,0,0
"2729",2012,"Rueben Randle","Louisiana State","WR",74.875,210,NA,4.55,15,31,121,4.36,6.99,0,0,0
"2730",2012,"Gerell Robinson","Arizona State","WR",75.125,227,NA,4.54,NA,35.5,113,4.15,NA,0,0,0
"2731",2012,"James Rodgers","Oregon State","WR",66.75,184,NA,4.61,19,37,115,4.23,NA,0,0,0
"2732",2012,"Mohamed Sanu","Rutgers","WR",73.5,211,NA,4.62,19,36,126,4.22,6.88,0,0,0
"2733",2012,"Tommy Streeter","Miami (FL)","WR",76.875,219,NA,4.37,17,33,125,NA,7.08,0,0,0
"2734",2012,"Julian Talley","Massachusetts","WR",72.875,190,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2735",2012,"Nick Toon","Wisconsin","WR",73.875,215,NA,4.49,18,37.5,NA,NA,NA,0,0,0
"2736",2012,"Jordan White","Western Michigan","WR",71.75,208,NA,4.63,14,35,119,4.13,6.84,0,0,0
"2737",2012,"Jarius Wright","Arkansas","WR",69.625,182,NA,4.39,11,38,120,4.03,6.93,0,0,0
"2738",2012,"Kendall Wright","Baylor","WR",70.25,196,NA,4.49,NA,38.5,121,4.18,6.93,0,0,0
"2739",2012,"Devon Wylie","Frenso State (CA)","WR",69.25,187,NA,4.36,17,39,123,NA,NA,0,0,0
"2740",2011,"Darvin Adams","Auburn","WR",74.125,190,NA,4.56,NA,NA,NA,NA,NA,0,0,0
"2741",2011,"Jon Baldwin","Pittsburgh","WR",76.375,228,14,4.49,20,42,129,4.34,7.07,0,0,0
"2742",2011,"Armon Binns","Cincinnati","WR",75,209,NA,4.5,13,31.5,118,4.31,6.86,0,0,0
"2743",2011,"DeAndre Brown","Southern Mississippi","WR",77.625,233,NA,4.59,20,29,117,4.33,6.93,0,0,0
"2744",2011,"Vincent Brown","Miami (FL)","WR",71.25,187,NA,4.8,12,33.5,121,4.25,6.64,0,0,0
"2745",2011,"Vincent Brown","San Diego State","WR",71.25,187,NA,4.68,12,33.5,121,4.25,6.64,0,0,0
"2746",2011,"Stephen Burton","West Texas A&M","WR",73.375,221,NA,4.5,19,34.5,117,4.31,7.04,0,0,0
"2747",2011,"Mark Dell","Michigan State","WR",72.25,193,NA,4.54,14,NA,NA,NA,NA,0,0,0
"2748",2011,"Tandon Doss","Indiana","WR",74,201,NA,4.56,14,NA,NA,NA,NA,0,0,0
"2749",2011,"Kris Durham","Georgia","WR",77.25,216,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2750",2011,"Clyde Gates","Abilene Christian (TX)","WR",71.75,192,NA,4.49,16,40,131,NA,NA,0,0,0
"2751",2011,"Edmond Gates","Abilene Christian (TX)","WR",71.75,192,NA,4.31,16,40,131,NA,NA,0,0,0
"2752",2011,"Tori Gurley","South Carolina","WR",76.125,216,NA,4.53,15,33.5,118,4.25,7.05,0,0,0
"2753",2011,"Jamel Hamler","Frenso State (CA)","WR",73,193,NA,4.68,4,32,112,4.18,7.16,0,0,0
"2754",2011,"Leonard Hankerson","Miami (FL)","WR",73.5,209,NA,4.4,14,36,117,4.21,6.94,0,0,0
"2755",2011,"Dwayne Harris","East Carolina (NC)","WR",70.375,203,NA,4.53,10,34,111,4.21,6.77,0,0,0
"2756",2011,"Andre Holmes","Hillsdale (MI)","WR",76.375,210,NA,4.51,11,35,130,4.31,6.69,0,0,0
"2757",2011,"Lestar Jean","Florida Atlantic","WR",75,215,NA,4.61,14,37.5,113,4.43,7.45,0,0,0
"2758",2011,"Jerrel Jernigan","Troy (AL)","WR",68.875,185,NA,4.46,11,37.5,117,4.25,7.07,0,0,0
"2759",2011,"Ronald Johnson","Southern California","WR",71.25,199,NA,4.46,16,NA,NA,NA,NA,0,0,0
"2760",2011,"Jeremy Kerley","Texas Christian","WR",69.5,189,NA,4.56,16,34.5,120,NA,NA,0,0,0
"2761",2011,"Greg Little","North Carolina","WR",74.5,231,NA,4.51,27,40.5,129,4.21,6.8,0,0,0
"2762",2011,"Ricardo Lockette","Fort Valley State (GA)","WR",74.125,211,NA,4.34,NA,35.5,127,4.19,7.15,0,0,0
"2763",2011,"Jeff Maehl","Oregon","WR",72.875,190,NA,4.56,NA,33.5,115,3.94,6.42,0,0,0
"2764",2011,"Scotty McKnight","Colorado","WR",70.5,182,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2765",2011,"Denarius Moore","Tennessee","WR",71.625,194,NA,4.43,13,36,118,4.15,6.78,0,0,0
"2766",2011,"Joseph Morgan","Michigan State","WR",72.5,189,NA,4.48,10,35.5,123,4.25,6.91,0,0,0
"2767",2011,"O.J. Murdock","Fort Hays State (KS)","WR",70.5,197,NA,4.59,15,34.5,116,4.37,NA,0,0,0
"2768",2011,"Orenthal Murdock","Fort Hays State (KS)","WR",70.5,197,NA,4.53,15,34.5,116,4.37,NA,0,0,0
"2769",2011,"Jamar Newsome","Central Florida","WR",72.5,200,NA,4.56,13,38.5,129,4.22,6.83,0,0,0
"2770",2011,"Niles Paul","Nebraska","WR",72.875,224,NA,4.45,24,34.5,117,4.14,6.9,0,0,0
"2771",2011,"Austin Pettis","Boise State","WR",74.625,209,NA,4.56,14,33.5,120,3.88,6.68,0,0,0
"2772",2011,"Kealoha Pilares","Hawaii","WR",69.875,199,NA,4.56,19,NA,NA,NA,NA,0,0,0
"2773",2011,"Aldrick Robinson","Southern Methodist (TX)","WR",69.625,184,NA,4.35,17,40,126,4.09,6.65,0,0,0
"2774",2011,"Greg Salas","Hawaii","WR",73.125,210,NA,4.53,15,37,120,4.1,6.65,0,0,0
"2775",2011,"DeMarco Sampson","San Diego State","WR",74,204,NA,4.69,14,NA,NA,NA,NA,0,0,0
"2776",2011,"Jock Sanders","West Virginia","WR",66.125,181,NA,4.5,19,34.5,121,4.13,6.78,0,0,0
"2777",2011,"Dane Sanzenbacher","Ohio State","WR",71.375,182,NA,4.56,NA,33.5,118,3.97,6.46,0,0,0
"2778",2011,"Cecil Shorts","Missouri","WR",71.75,205,NA,4.58,21,34.5,114,4.07,6.5,0,0,0
"2779",2011,"Cecil Shorts","Mount Union (OH)","WR",71.75,205,NA,4.5,21,34.5,114,4.07,6.5,0,0,0
"2780",2011,"Keith Smith","Purdue","WR",74.25,214,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2781",2011,"Torrey Smith","Maryland","WR",72.875,204,NA,4.41,19,41,126,4.13,6.72,0,0,0
"2782",2011,"Owen Spencer","North Carolina State","WR",73.875,195,NA,4.51,6,37.5,125,4.18,6.86,0,0,0
"2783",2011,"Terrance Toliver","Louisiana State","WR",75.5,212,NA,4.52,NA,32,122,4.03,6.48,0,0,0
"2784",2011,"Terrence Toliver","Michigan State","WR",75.5,212,NA,4.62,NA,32,122,4.03,6.48,0,0,0
"2785",2011,"Terrance Turner","Indiana","WR",73.75,220,NA,4.66,16,41,128,4.15,6.77,0,0,0
"2786",2011,"Ryan Whalen","Stanford","WR",73.125,202,NA,4.53,18,38.5,123,4.09,6.67,0,0,0
"2787",2011,"Marshall Williams","Wake Forest","WR",72.75,188,NA,4.56,9,35.5,123,4.09,6.61,0,0,0
"2788",2011,"Jimmy Young","Texas Christian","WR",72,204,NA,4.5,19,37,115,4.18,7.08,0,0,0
"2789",2011,"Titus Young","Boise State","WR",71.375,174,NA,4.43,NA,NA,123,NA,NA,0,0,0
"2790",2010,"Seyi Ajirotutu","Frenso State (CA)","WR",75.375,204,NA,4.6,14,36,115,4.39,7.22,0,0,0
"2791",2010,"Danario Alexander","Missouri","WR",76.625,215,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2792",2010,"Alric Arnett","West Virginia","WR",73.75,188,NA,4.52,NA,40,122,4.43,7.03,0,0,0
"2793",2010,"Terrence Austin","UCLA","WR",69.625,165,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2794",2010,"Brandon Banks","Kansas State","WR",66.75,149,NA,4.43,NA,31,113,4.29,6.88,0,0,0
"2795",2010,"Freddie Barnes","Bowling Green (OH)","WR",72,215,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2796",2010,"Chris Bell","Norfolk State (VA)","WR",74.125,211,NA,4.5,15,35,117,4.35,6.76,0,0,0
"2797",2010,"Arrelious Benn","Illinois","WR",73,219,NA,4.57,20,37,118,NA,NA,0,0,0
"2798",2010,"Nyan Boateng","California","WR",73,204,NA,4.75,14,36,112,4.69,7.35,0,0,0
"2799",2010,"Dezmon Briscoe","Kansas","WR",74,207,NA,4.66,9,33,115,4.57,7.1,0,0,0
"2800",2010,"Chris Carter","UC-Davis","WR",71.375,191,NA,NA,12,NA,NA,NA,NA,0,0,0
"2801",2010,"Riley Cooper","Florida","WR",75.375,222,NA,4.53,NA,33,114,NA,NA,0,0,0
"2802",2010,"Eric Decker","Minnesota","WR",75.125,217,NA,4.54,15,NA,NA,NA,NA,0,0,0
"2803",2010,"Marcus Easley","Connecticut","WR",74.75,210,NA,4.39,16,34,123,4.6,6.94,0,0,0
"2804",2010,"Armanti Edwards","Appalachian State (NC)","WR",70.875,187,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2805",2010,"Jacoby Ford","Clemson","WR",68.875,186,NA,4.22,15,33.5,115,4.44,7,0,0,0
"2806",2010,"David Gettis","Baylor","WR",75,217,NA,4.43,15,34.5,124,4.41,6.94,0,0,0
"2807",2010,"Mardy Gilyard","Cincinnati","WR",71.875,187,NA,4.61,NA,39,116,4.4,6.92,0,0,0
"2808",2010,"Shay Hodge","Mississippi","WR",73.25,209,NA,4.62,11,33.5,117,4.32,6.9,0,0,0
"2809",2010,"Trindon Holliday","Louisiana State","WR",65.25,166,NA,4.21,10,42,116,4.48,6.54,0,0,0
"2810",2010,"Donald Jones","Youngstown State (OH)","WR",72.375,214,NA,4.46,20,41,119,4.2,6.9,0,0,0
"2811",2010,"Kevin Jurovich","San Jose State","WR",70.625,182,NA,4.49,14,NA,NA,NA,NA,0,0,0
"2812",2010,"Brandon LaFell","Louisiana State","WR",74.5,211,NA,4.58,NA,36,115,4.23,6.81,0,0,0
"2813",2010,"Scott Long","Louisville","WR",74.125,216,NA,4.46,20,41.5,123,4.09,6.45,0,0,0
"2814",2010,"Marc Mariani","Montana","WR",72.875,190,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2815",2010,"Dexter McCluster","Mississippi","WR",68.75,172,18,4.53,20,37.5,118,4.06,NA,0,0,0
"2816",2010,"Chris McGaha","Arizona State","WR",72.875,201,NA,4.52,19,40,122,4.21,NA,0,0,0
"2817",2010,"Kerry Meier","Kansas","WR",74.125,224,NA,4.62,13,35,115,4.23,NA,0,0,0
"2818",2010,"Carlton Mitchell","South Florida","WR",74.875,215,NA,4.46,16,36,122,4.55,6.96,0,0,0
"2819",2010,"Chris Mitchell","Louisiana State","WR",71.75,189,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2820",2010,"Preston Parker","North Alabama","WR",71.25,199,NA,4.66,16,35,117,4.16,NA,0,0,0
"2821",2010,"Jared Perry","Missouri","WR",72.75,178,NA,4.51,11,33.5,121,4.39,6.75,0,0,0
"2822",2010,"Taylor Price","Ohio","WR",72.375,204,NA,4.4,16,37,114,4.34,6.82,0,0,0
"2823",2010,"David Reed","Utah","WR",72.125,191,NA,4.56,15,37,114,4.38,6.95,0,0,0
"2824",2010,"Jordan Shipley","Texas","WR",71.25,193,NA,4.6,16,36.5,116,NA,NA,0,0,0
"2825",2010,"Juamorris Stewart","Southern (LA)","WR",72.875,201,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2826",2010,"Tim Toone","Weber State (UT)","WR",70.25,185,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2827",2010,"Verran Tucker","California","WR",73.625,200,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2828",2010,"Roberto Wallace","San Diego State","WR",75.875,223,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2829",2010,"Joe Webb","Alabama-Birmingham","WR",74.75,223,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2830",2010,"Chastin West","Frenso State (CA)","WR",72.375,212,NA,4.61,15,33.5,113,NA,NA,0,0,0
"2831",2010,"Blair White","Michigan State","WR",74.25,209,NA,4.49,18,33.5,115,4.03,6.69,0,0,0
"2832",2010,"Damian Williams","Southern California","WR",72.625,197,NA,4.52,19,38,118,4.24,6.79,0,0,0
"2833",2010,"Jeremy Williams","Tulane (LA)","WR",72.125,206,NA,4.59,14,36,117,NA,6.73,0,0,0
"2834",2010,"Kyle Williams","Arizona State","WR",70,188,NA,4.4,11,33,118,4.19,7,0,0,0
"2835",2010,"Mike Williams","Syracuse","WR",73.5,221,NA,4.53,8,33.5,116,4.31,6.9,0,0,0
"2836",2010,"Stephen Williams","Toledo","WR",76.5,210,NA,4.5,15,36.5,125,4.11,6.81,0,0,0
"2837",2010,"Ryan Wolfe","Nevada Las Vegas","WR",73,205,NA,NA,13,NA,NA,NA,NA,0,0,0
"2838",2009,"Ramses Barden","Cal Poly","WR",78,229,NA,4.55,17,33.5,118,4.26,NA,0,0,0
"2839",2009,"Kenny Britt","Rutgers","WR",74.875,218,NA,4.49,23,37,124,4.47,NA,0,0,0
"2840",2009,"Freddie Brown","Utah","WR",74.625,215,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2841",2009,"Deon Butler","Penn State","WR",70.375,182,NA,4.31,12,34.5,118,4.48,7.01,0,0,0
"2842",2009,"Demetrius Byrd","Louisiana State","WR",72.25,196,NA,4.35,NA,31.5,117,NA,NA,0,0,0
"2843",2009,"Jeremy Childs","Boise State","WR",71.625,200,NA,4.62,NA,33.5,115,4.26,6.9,0,0,0
"2844",2009,"Austin Collie","Brigham Young","WR",72.875,200,NA,4.56,17,34,120,4.24,6.78,0,0,0
"2845",2009,"Quan Cosby","Texas","WR",68.625,196,NA,4.5,NA,NA,NA,4.47,7.28,0,0,0
"2846",2009,"Michael Crabtree","Texas Tech","WR",73.375,215,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2847",2009,"Jarett Dillard","Rice (TX)","WR",70.25,191,NA,4.52,13,42.5,129,4.41,7.1,0,0,0
"2848",2009,"Julian Edelman","Kent State (OH)","WR",70.375,195,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2849",2009,"Dominique Edison","Stephen F. Austin (TX)","WR",74.125,204,NA,4.43,NA,37,120,4.18,NA,0,0,0
"2850",2009,"Brooks Foster","North Carolina","WR",72.5,201,NA,4.45,27,NA,NA,NA,NA,0,0,0
"2851",2009,"Brandon Gibson","Washington State","WR",72.375,210,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2852",2009,"Brian Hartline","Ohio State","WR",73.625,195,NA,4.52,NA,34.5,120,4.12,6.65,0,0,0
"2853",2009,"Darrius Heyward-Bey","Maryland","WR",73.625,210,NA,4.25,16,38.5,126,4.18,6.8,0,0,0
"2854",2009,"Juaquin Iglesias","Oklahoma","WR",72.875,210,NA,4.44,NA,34.5,116,4.4,NA,0,0,0
"2855",2009,"Manuel Johnson","Oklahoma","WR",70.875,189,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2856",2009,"Taurus Johnson","South Florida","WR",72.25,206,NA,4.49,18,35.5,121,4.24,7.37,0,0,0
"2857",2009,"Aaron Kelly","Clemson","WR",76.5,204,NA,4.49,11,38,119,4.45,7.25,0,0,0
"2858",2009,"Derek Kinder","Pittsburgh","WR",72.125,202,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2859",2009,"Johnny Knox","Abilene Christian (TX)","WR",71.5,185,NA,4.29,NA,35,122,4.15,6.81,0,0,0
"2860",2009,"Quinten Lawrence","McNeese State (LA)","WR",71.625,184,NA,4.4,20,NA,NA,NA,NA,0,0,0
"2861",2009,"Jeremy Maclin","Missouri","WR",72.125,198,25,4.45,NA,NA,NA,NA,NA,0,0,0
"2862",2009,"Brennan Marion","Tulsa (OK)","WR",71.375,187,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2863",2009,"Mohamed Massaquoi","Georgia","WR",73.5,210,NA,4.6,NA,36.5,127,NA,NA,0,0,0
"2864",2009,"Kenny McKinley","South Carolina","WR",72.375,189,NA,4.37,NA,37,113,4.1,6.96,0,0,0
"2865",2009,"Andrew Means","Indiana","WR",72.625,214,NA,4.46,12,34.5,116,4.21,6.85,0,0,0
"2866",2009,"Marko Mitchell","Nevada","WR",75.625,218,NA,4.43,9,32,116,4.33,7.04,0,0,0
"2867",2009,"Louis Murphy","Florida","WR",74.375,203,NA,4.32,12,NA,NA,NA,NA,0,0,0
"2868",2009,"Hakeem Nicks","North Carolina","WR",72.75,212,11,4.51,NA,36,NA,NA,NA,0,0,0
"2869",2009,"Jordan Norwood","Penn State","WR",70.875,179,NA,4.62,NA,38,119,4.2,6.8,0,0,0
"2870",2009,"Kevin Ogletree","Virginia","WR",72.5,196,NA,4.36,NA,36,122,4.08,6.67,0,0,0
"2871",2009,"Greg Orton","Purdue","WR",74.625,207,NA,4.75,22,38,125,4.33,6.9,0,0,0
"2872",2009,"Darius Passmore","Marshall (WV)","WR",72.375,188,NA,4.51,NA,33.5,NA,NA,NA,0,0,0
"2873",2009,"David Richmond","San Jose State","WR",73.75,197,NA,4.66,NA,36.5,NA,4.42,NA,0,0,0
"2874",2009,"Brian Robiskie","Ohio State","WR",74.875,209,NA,4.46,NA,37.5,NA,4.19,6.72,0,0,0
"2875",2009,"Jamarko Simmons","Western Michigan","WR",73.75,231,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2876",2009,"Sammie Stroughter","Oregon State","WR",69.375,189,NA,4.54,13,30,110,4.28,7.03,0,0,0
"2877",2009,"Nate Swift","Nebraska","WR",73.375,203,NA,4.7,12,35.5,110,4.24,6.78,0,0,0
"2878",2009,"Brandon Tate","North Carolina","WR",71.875,183,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2879",2009,"Mike Thomas","Arizona","WR",67.875,195,NA,4.3,NA,40.5,126,4.28,6.65,0,0,0
"2880",2009,"Patrick Turner","Southern California","WR",77.125,223,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2881",2009,"Tiquan Underwood","Rutgers","WR",73.125,184,NA,4.31,7,41.5,129,4.11,6.62,0,0,0
"2882",2009,"Derrick Williams","Penn State","WR",71.5,194,NA,4.65,15,33,NA,NA,NA,0,0,0
"2883",2009,"Jaison Williams","Oregon","WR",76.125,237,NA,4.63,14,35.5,118,4.56,7.37,0,0,0
"2884",2008,"Jake Allen","Mississippi College","WR",75.625,190,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2885",2008,"Danny Amendola","Texas Tech","WR",70.5,183,NA,4.7,13,27.5,103,4.25,6.81,0,0,0
"2886",2008,"Adrian Arrington","Michigan","WR",74.875,203,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2887",2008,"Donnie Avery","Houston","WR",71,192,NA,4.46,16,NA,NA,NA,NA,0,0,0
"2888",2008,"Earl Bennett","Vanderbilt","WR",71.5,209,NA,4.52,15,26,110,4.22,7.15,0,0,0
"2889",2008,"Davone Bess","Hawaii","WR",69.875,194,NA,4.77,12,31.5,118,4.27,6.97,0,0,0
"2890",2008,"Todd Blythe","Iowa State","WR",76.875,214,NA,4.69,NA,31.5,118,4.23,6.92,0,0,0
"2891",2008,"Adarius Bowman","Oklahoma State","WR",74.875,223,NA,4.77,14,NA,NA,NA,NA,0,0,0
"2892",2008,"Mark Bradford","Stanford","WR",72.75,211,NA,4.75,19,36.5,120,4.47,7.12,0,0,0
"2893",2008,"Brandon Breazell","UCLA","WR",71.625,160,NA,4.47,NA,30.5,115,NA,6.97,0,0,0
"2894",2008,"Travis Brown","New Mexico","WR",74.125,202,NA,4.64,13,30,120,4.38,7.18,0,0,0
"2895",2008,"Dorien Bryant","Purdue","WR",69.75,174,NA,4.55,NA,NA,119,4.24,6.88,0,0,0
"2896",2008,"Keenan Burton","Kentucky","WR",72.5,201,NA,4.48,10,38.5,125,4.2,6.77,0,0,0
"2897",2008,"Andre Caldwell","Florida","WR",72.25,204,NA,4.39,NA,33,124,4.11,6.75,0,0,0
"2898",2008,"Early Doucet","Louisiana State","WR",72.125,209,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2899",2008,"Harry Douglas","Louisville","WR",71.25,176,NA,4.57,NA,31,120,4.12,6.57,0,0,0
