"","Draft Year","Team","Draft Round","Pick Number","PlayerID","Games","Avg Value","AV16","Name","Position","College","Height","Weight","Wonderlic","40 YD","Bench","Vert","Broad","Shuttle","3Cone","Pro Bowls","All Pros"
"1000",2004,"DET",6,172,"ButlKe21",22,8,5.81818181818182,"Kelly Butler","OL","Purdue",79.4,320,NA,5.12,NA,30.5,105,4.92,7.96,NA,NA
"1001",2005,"MIA",1,2,"BrowRo05",132,48,5.81818181818182,"Ronnie Brown","RB","Auburn",72.25,233,NA,4.46,18,34,117,4.08,7.1,1,NA
"1002",2006,"ARI",1,10,"LeinMa00",33,12,5.81818181818182,"Matt Leinart","QB","Southern California",76.875,223,35,4.9,NA,NA,NA,NA,NA,NA,NA
"1003",2008,"ARI",5,149,"HighTi00",77,28,5.81818181818182,"Tim Hightower","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1004",2013,"GB",5,159,"HydeMi00",110,40,5.81818181818182,"Micah Hyde","DB","Iowa",71.75,197,NA,4.56,12,33,121,4.2,6.78,NA,NA
"1005",2015,"BUF",5,155,"WillKa01",11,4,5.81818181818182,"Karlos Williams","RB","Florida State",72.75,230,NA,4.48,16,33.5,117,4.46,7.16,NA,NA
"1006",2016,"IND",7,248,"BlytAu00",55,20,5.81818181818182,"Austin Blythe","OL","Iowa",74.125,298,NA,5.36,29,27.5,99,4.53,7.52,NA,NA
"1007",2001,"JAX",7,233,"McCrMa20",116,42,5.79310344827586,"Marlon McCree","DB","Kentucky",71,197,NA,4.6,10,38,117,4.1,7.36,NA,NA
"1008",2003,"PIT",4,125,"TaylIk20",174,63,5.79310344827586,"Ike Taylor","DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1009",2006,"TB",2,59,"TrueJe20",116,42,5.79310344827586,"Jeremy Trueblood","OL","Boston College",80,316,NA,5.31,20,27.5,96,4.68,7.82,NA,NA
"1010",2015,"IND",3,93,"AndeHe00",58,21,5.79310344827586,"Henry Anderson","DL","Stanford",78.25,294,36,4.97,NA,30,111,4.19,7.2,NA,NA
"1011",2016,"DET",2,46,"RobiAS00",58,21,5.79310344827586,"A'Shawn Robinson","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1012",2004,"DAL",7,216,"CrayPa00",105,38,5.79047619047619,"Patrick Crayton","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1013",2004,"CIN",4,117,"GeatRo21",152,55,5.78947368421053,"Robert Geathers","DL","Georgia",74.9,271,NA,4.91,24,33.5,112,NA,NA,NA,NA
"1014",2005,"BAL",1,22,"ClayMa01",83,30,5.78313253012048,"Mark Clayton","WR","Oklahoma",70.375,193,NA,4.43,NA,36.5,117,4.07,6.95,2,1
"1015",2011,"HOU",7,214,"NewtDe00",83,30,5.78313253012048,"Derek Newton","OL","Arkansas State",76.875,311,NA,5,24,25.5,100,5,7.76,NA,NA
"1016",2014,"STL",1,2,"RobiGr01",83,30,5.78313253012048,"Greg Robinson","OL","Auburn",77,332,NA,4.92,32,28.5,112,4.86,7.8,NA,NA
"1017",2011,"BAL",2,58,"SmitTo02",119,43,5.78151260504202,"Torrey Smith","WR","Maryland",72.875,204,NA,4.41,19,41,126,4.13,6.72,NA,NA
"1018",2015,"IND",5,151,"ParrDa00",36,13,5.77777777777778,"David Parry","DL","Stanford",73.25,308,NA,5.38,34,29,103,NA,NA,NA,NA
"1020",2009,"JAX",4,107,"ThomMi01",61,22,5.77049180327869,"Mike Thomas","WR","Arizona",67.875,195,NA,4.3,NA,40.5,126,4.28,6.65,NA,NA
"1021",2011,"PHI",5,149,"LewiDi00",86,31,5.76744186046512,"Dion Lewis","RB","Pittsburgh",66.625,193,NA,4.56,17,34.5,112,4.18,6.9,NA,1
"1022",2004,"NYJ",4,108,"CotcJe00",175,63,5.76,"Jerricho Cotchery","WR","North Carolina State",72.5,212,NA,4.56,NA,36,121,3.91,6.93,NA,NA
"1023",2004,"IND",4,125,"DaviJa20",75,27,5.76,"Jason David","DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1024",2010,"OAK",2,44,"HousLa99",100,36,5.76,"Lamarr Houston","DL","Texas",74.75,305,NA,4.84,30,33.5,114,4.71,7.61,NA,NA
"1025",2007,"JAX",2,48,"DuraJu99",128,46,5.75,"Justin Durant","LB","Hampton (VA)",72.88,230,NA,4.55,25,36,121,4.09,6.77,NA,NA
"1026",2001,"STL",1,20,"ArchAd20",103,37,5.74757281553398,"Adam Archuleta","DB","Arizona State",71.9,211,NA,4.46,31,NA,NA,NA,NA,NA,NA
"1027",2010,"CLE",3,85,"McCoCo00",39,14,5.74358974358974,"Colt McCoy","QB","Texas",73.125,216,25,4.79,NA,NA,114,NA,NA,NA,NA
"1028",2006,"NYG",1,32,"KiwaMa20",120,43,5.73333333333333,"Mathias Kiwanuka","DL","Boston College",77.75,266,NA,4.74,17,32,120,4.13,7.27,NA,NA
"1029",2010,"ATL",1,19,"WeatSe99",67,24,5.73134328358209,"Sean Weatherspoon","LB","Missouri",73.25,239,NA,4.62,34,40,123,4.38,6.99,NA,1
"1030",2011,"OAK",2,48,"WisnSt01",134,48,5.73134328358209,"Stefen Wisniewski","OL","Penn State",75,313,NA,5.29,30,28.5,100,4.63,7.51,NA,NA
"1031",2004,"HOU",1,27,"BabiJa20",148,53,5.72972972972973,"Jason Babin","LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1032",2005,"TB",1,5,"WillCa02",81,29,5.72839506172839,"Cadillac Williams","RB","Auburn",70.875,217,NA,4.5,19,35.5,118,4.15,6.94,NA,NA
"1033",2000,"SF",1,24,"PlumAh20",70,25,5.71428571428571,"Ahmed Plummer","DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1034",2001,"BUF",4,110,"SpooBr20",14,5,5.71428571428571,"Brandon Spoon","LB","North Carolina",74.4,245,NA,4.73,33,35.5,110,4.15,7.3,NA,NA
"1035",2004,"SEA",5,157,"HackD.00",42,15,5.71428571428571,"D.J. Hackett","WR","Colorado",74.5,199,NA,4.55,NA,41,131,4.08,6.79,NA,NA
"1036",2006,"HOU",6,170,"LundWa00",14,5,5.71428571428571,"Wali Lundy","RB","Virginia",71,214,NA,4.52,18,35,111,4.36,6.99,NA,NA
"1037",2008,"NO",2,40,"PortTr99",98,35,5.71428571428571,"Tracy Porter","DB","Indiana",70.875,188,NA,4.49,18,34,123,4.07,7.2,NA,NA
"1038",2015,"MIA",1,14,"ParkDe01",70,25,5.71428571428571,"DeVante Parker","WR","Louisville",74.625,209,15,4.45,17,36.5,125,NA,NA,NA,NA
"1039",2016,"BUF",2,41,"RaglRe00",42,15,5.71428571428571,"Reggie Ragland","LB","Alabama",73.25,247,NA,4.72,NA,31.5,116,4.28,NA,NA,NA
"1040",2017,"TEN",1,5,"DaviCo03",42,15,5.71428571428571,"Corey Davis","WR","Western Michigan",74.75,209,31,NA,NA,NA,NA,4.28,NA,NA,NA
"1041",2019,"GB",1,21,"SavaDa00",14,5,5.71428571428571,"Darnell Savage","DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1042",2000,"BAL",1,10,"TaylTr01",101,36,5.7029702970297,"Travis Taylor","WR","Florida",72.9,199,NA,4.43,NA,37,118,NA,7.15,NA,NA
"1043",2005,"STL",1,19,"BarrAl20",87,31,5.70114942528736,"Alex Barron","OL","Florida State",79.5,320,NA,5.27,NA,35.5,109,4.56,7.83,NA,NA
"1044",2005,"CAR",6,189,"HayeJo20",73,26,5.6986301369863,"Jovan Haye","DL","Vanderbilt",74,284,NA,4.77,33,34,110,4.35,7.38,NA,NA
"1045",2009,"STL",3,66,"FletBr99",73,26,5.6986301369863,"Bradley Fletcher","DB","Iowa",72.375,196,NA,4.47,20,38.5,122,4.29,7.04,NA,NA
"1046",2001,"CLE",4,97,"HenrAn20",132,47,5.6969696969697,"Anthony Henry","DB","South Florida",72.8,198,NA,4.57,15,41,126,4.2,6.9,NA,NA
"1047",2010,"MIA",3,73,"JerrJo20",132,47,5.6969696969697,"John Jerry","OL","Mississippi",77.375,328,NA,5.15,NA,27.5,101,4.69,7.93,NA,NA
"1048",2003,"SD",2,62,"KielTe20",59,21,5.69491525423729,"Terrence Kiel","DB","Texas A&M",71.1,204,NA,4.49,16,38,127,3.92,6.87,NA,NA
"1049",2006,"SF",5,140,"HaraPa20",118,42,5.69491525423729,"Parys Haralson","DL","Tennessee",73.25,253,NA,4.84,24,32,115,4.26,7.37,NA,NA
"1050",2015,"CHI",5,142,"AmosAd00",76,27,5.68421052631579,"Adrian Amos","DB","Penn State",72.5,218,NA,4.56,NA,35.5,122,4.03,7.09,NA,NA
"1051",2013,"NO",5,144,"StilKe00",107,38,5.68224299065421,"Kenny Stills","WR","Oklahoma",72.5,194,NA,4.38,16,33.5,124,4.35,NA,NA,NA
"1052",2006,"WAS",2,35,"McInRo20",124,44,5.67741935483871,"Rocky McIntosh","LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1053",2018,"HOU",3,68,"ReidJu00",31,11,5.67741935483871,"Justin Reid","DB","Stanford",72.5,204,NA,4.4,16,36.5,128,4.15,6.65,NA,NA
"1054",2003,"NYJ",2,53,"HobsVi20",79,28,5.67088607594937,"Victor Hobson","LB","Michigan",72.5,252,NA,4.88,29,33,117,4.32,7.25,NA,NA
"1055",2011,"NYG",1,19,"AmukPr00",113,40,5.66371681415929,"Prince Amukamara","DB","Nebraska",72,206,NA,4.38,15,38,128,4.08,6.97,NA,NA
"1056",2003,"CHI",4,116,"ScotIa20",65,23,5.66153846153846,"Ian Scott","DL","Florida",75,312,NA,5.16,28,28.5,99,5,8.12,NA,NA
"1057",2004,"ATL",1,29,"JenkMi00",130,46,5.66153846153846,"Michael Jenkins","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1058",2015,"GB",1,30,"RandDa00",65,23,5.66153846153846,"Damarious Randall","DB","Arizona State",70.875,196,18,4.46,14,38,120,4.07,6.83,NA,NA
"1059",2002,"NO",6,186,"OSulJ.00",17,6,5.64705882352941,"J.T. O'Sullivan","QB","UC-Davis",74.1,223,35,4.93,NA,29,105,4.28,7.46,NA,NA
"1061",2010,"ARI",1,26,"WillDa99",102,36,5.64705882352941,"Dan Williams","DL","Tennessee",74,327,NA,5.19,27,32,96,4.87,7.88,NA,NA
"1062",2012,"STL",3,65,"JohnTr05",102,36,5.64705882352941,"Trumaine Johnson","DB","Montana",73.875,204,NA,4.5,19,35.5,122,4.15,7.2,NA,NA
"1063",2013,"OAK",2,42,"WatsMe00",34,12,5.64705882352941,"Menelik Watson","OL","Florida State",77.125,310,20,5.29,NA,24.5,103,5.01,8.31,NA,NA
"1064",2008,"CIN",1,9,"RiveKe99",74,26,5.62162162162162,"Keith Rivers","LB","Southern California",74.25,241,NA,NA,24,NA,NA,NA,NA,NA,NA
"1065",2015,"BAL",4,122,"SmitZa00",74,26,5.62162162162162,"Za'Darius Smith","DL","Kentucky",76.5,274,NA,4.83,23,29,113,4.66,7.42,NA,1
"1066",2005,"PIT",1,30,"MillHe00",168,59,5.61904761904762,"Heath Miller","TE","Virginia",77,256,NA,NA,NA,NA,NA,NA,NA,2,NA
"1067",2008,"TEN",7,229,"WillCa99",97,34,5.60824742268041,"Cary Williams","DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1068",2000,"NYG",4,105,"ShorBr20",100,35,5.6,"Brandon Short","LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1069",2007,"ARI",2,33,"BranAl99",146,51,5.58904109589041,"Alan Branch","DL","Michigan",77.75,324,NA,5.11,33,27.5,107,NA,NA,NA,1
"1070",2006,"PHI",2,39,"JustWi20",63,22,5.58730158730159,"Winston Justice","OL","Southern California",78.125,319,NA,NA,NA,35,110,4.53,7.31,NA,NA
"1071",2009,"JAX",3,73,"CoxxDe99",63,22,5.58730158730159,"Derek Cox","DB","William & Mary (VA)",72.75,189,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1072",2016,"GB",4,137,"LowrDe00",63,22,5.58730158730159,"Dean Lowry","DL","Northwestern",77.75,296,NA,4.87,30,32.5,114,4.38,7.26,NA,NA
"1073",2014,"STL",6,188,"GainE.00",43,15,5.58139534883721,"E.J. Gaines","DB","Missouri",69.625,190,NA,4.44,15,NA,NA,NA,NA,NA,NA
"1074",2017,"WAS",6,199,"RoulCh00",43,15,5.58139534883721,"Chase Roullier","OL","Wyoming",75.75,312,31,5.54,19,26.5,97,4.47,7.6,NA,NA
"1075",2001,"MIN",1,27,"BennMi00",109,38,5.57798165137615,"Michael Bennett","RB","Wisconsin",69.3,207,NA,4.44,13,39.5,130,NA,NA,1,NA
"1076",2002,"ATL",7,244,"ShafKe20",132,46,5.57575757575758,"Kevin Shaffer","OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077",2003,"DAL",2,38,"JohnAl22",66,23,5.57575757575758,"Al Johnson","OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1078",2003,"TB",3,97,"SimmCh00",23,8,5.56521739130435,"Chris Simms","QB","Texas",76.4,220,22,4.86,NA,31,103,4.18,7.37,NA,NA
"1079",2017,"GB",4,134,"WillJa06",46,16,5.56521739130435,"Jamaal Williams","RB","Brigham Young",72,212,NA,4.59,NA,30,123,4.53,7.25,NA,NA
"1080",2007,"MIA",1,9,"GinnTe00",187,65,5.56149732620321,"Ted Ginn","WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1081",2009,"OAK",3,71,"ShauMa99",75,26,5.54666666666667,"Matt Shaughnessy","DL","Wisconsin",77,266,NA,4.86,24,30.5,112,4.88,7.68,NA,NA
"1082",2009,"TEN",6,203,"McCoJa99",150,52,5.54666666666667,"Jason McCourty","DB","Rutgers",70.375,193,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1083",2013,"JAX",2,33,"CyprJo00",75,26,5.54666666666667,"Johnathan Cyprien","DB","Florida International",72.25,217,NA,4.56,NA,38.5,NA,NA,NA,NA,NA
"1084",2007,"DAL",1,26,"SpenAn99",104,36,5.53846153846154,"Anthony Spencer","DL","Purdue",74.875,261,NA,4.73,30,32.5,112,4.43,7.14,NA,NA
"1085",2009,"MIA",4,108,"HartBr00",104,36,5.53846153846154,"Brian Hartline","WR","Ohio State",73.625,195,NA,4.52,NA,34.5,120,4.12,6.65,NA,NA
"1086",2011,"BAL",1,27,"SmitJi03",107,37,5.53271028037383,"Jimmy Smith","DB","Colorado",74.25,211,NA,4.42,24,36,123,4.06,6.93,NA,NA
"1087",2003,"STL",3,74,"CurtKe00",81,28,5.53086419753086,"Kevin Curtis","WR","Utah State",71.1,186,NA,4.46,NA,36,122,3.96,6.75,NA,NA
"1088",2014,"ARI",1,27,"BucaDe00",84,29,5.52380952380952,"Deone Bucannon","DB","Washington State",73,211,NA,4.49,19,36.5,124,4.26,6.96,NA,NA
"1089",2000,"NO",2,33,"HowaDa21",145,50,5.51724137931035,"Darren Howard","DL","Kansas State",75.8,281,NA,5.11,NA,29,108,4.32,7,NA,NA
"1090",2006,"BUF",6,178,"ElliKe20",58,20,5.51724137931035,"Keith Ellison","LB","Oregon State",73.5,235,NA,4.83,24,32.5,115,4.16,7.22,NA,NA
"1091",2007,"MIN",7,217,"ThigTy00",29,10,5.51724137931035,"Tyler Thigpen","QB","Coastal Carolina (SC)",73.875,223,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1092",2008,"DEN",2,42,"RoyaEd00",116,40,5.51724137931035,"Eddie Royal","WR","Virginia Tech",69.625,184,NA,4.46,24,36,124,4.34,7.07,NA,NA
"1093",2008,"NYJ",4,113,"LoweDw99",116,40,5.51724137931035,"Dwight Lowery","DB","San Jose State",71.125,201,NA,4.69,16,33.5,116,4.38,7.31,NA,NA
"1094",2009,"TEN",1,30,"BritKe00",116,40,5.51724137931035,"Kenny Britt","WR","Rutgers",74.875,218,NA,4.49,23,37,124,4.47,NA,NA,NA
"1095",2018,"CAR",2,55,"JackDo02",29,10,5.51724137931035,"Donte Jackson","DB","Louisiana State",70.5,175,NA,4.32,7,NA,124,NA,NA,NA,NA
"1096",2003,"CLE",3,84,"CrocCh20",151,52,5.50993377483444,"Chris Crocker","DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097",2012,"DET",5,138,"WhitTa00",125,43,5.504,"Tahir Whitehead","LB","Temple",73.25,233,NA,4.62,21,37,124,4.37,7.14,NA,NA
"1098",2001,"BUF",5,144,"SullMa20",32,11,5.5,"Marques Sullivan","OL","Illinois",77.1,338,NA,5.31,28,30.5,98,4.8,8.36,NA,NA
"1099",2006,"CHI",2,42,"MannDa21",128,44,5.5,"Danieal Manning","DB","Abilene Christian (TX)",70.75,202,NA,4.5,17,39,123,4.07,7.23,NA,NA
"1100",2006,"NE",6,191,"MincJe99",96,33,5.5,"Jeremy Mincey","DL","Florida",75.5,259,NA,4.78,27,33.5,116,4.25,6.99,NA,NA
"1101",2007,"CHI",5,167,"PaynKe99",32,11,5.5,"Kevin Payne","DB","Louisiana-Monroe",72.25,220,NA,4.63,20,35,106,4.3,7,NA,NA
"1102",2011,"DEN",2,45,"MoorRa00",64,22,5.5,"Rahim Moore","DB","UCLA",71.75,202,NA,4.58,11,35,115,3.96,6.98,NA,NA
"1103",2012,"NYG",2,63,"RandRu00",64,22,5.5,"Rueben Randle","WR","Louisiana State",74.875,210,NA,4.55,15,31,121,4.36,6.99,NA,NA
"1104",2018,"CHI",2,39,"DaniJa01",32,11,5.5,"James Daniels","OL","Iowa",75.375,306,NA,NA,21,30.5,108,4.4,7.29,NA,NA
"1105",2018,"CIN",2,54,"BateJe00",32,11,5.5,"Jessie Bates III","DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106",2018,"KC",3,75,"NnadDe00",32,11,5.5,"Derrick Nnadi","DL","Florida State",73,317,NA,5.38,25,27,96,5.02,8.15,NA,NA
"1107",2010,"DEN",1,25,"TeboTi00",35,12,5.48571428571429,"Tim Tebow","QB","Florida",74.75,236,22,4.71,NA,38.5,115,4.17,6.66,NA,NA
"1108",2010,"DET",3,66,"SpieAm99",35,12,5.48571428571429,"Amari Spievey","DB","Iowa",70.875,195,NA,4.52,NA,35,116,NA,NA,NA,NA
"1109",2016,"BAL",4,130,"LewiAl01",35,12,5.48571428571429,"Alex Lewis","OL","Nebraska",78,312,NA,5.22,27,29.5,100,4.72,7.94,NA,NA
"1110",2016,"TB",5,148,"BeneCa00",35,12,5.48571428571429,"Caleb Benenoch","OL","UCLA",77.5,311,NA,4.98,NA,28,104,5.11,8.15,NA,NA
"1111",2002,"PIT",2,62,"RandAn00",143,49,5.48251748251748,"Antwaan Randle El","WR","Indiana",69.6,191,NA,4.54,NA,NA,NA,NA,NA,NA,NA
"1112",2003,"MIA",3,78,"SmitWa21",143,49,5.48251748251748,"Wade Smith","OL","Memphis",75.9,296,NA,5.15,24,32.5,114,4.71,7.6,NA,NA
"1113",2014,"PHI",2,42,"MattJo00",73,25,5.47945205479452,"Jordan Matthews","WR","Vanderbilt",75.125,212,29,4.46,21,35.5,120,4.18,6.95,NA,NA
"1114",2000,"DEN",4,112,"CarlCo20",190,65,5.47368421052632,"Cooper Carlisle","OL","Florida",77.4,297,NA,5.2,28,31,100,4.48,7.82,NA,NA
"1115",2008,"CAR",6,181,"HaydNi99",76,26,5.47368421052632,"Nick Hayden","DL","Wisconsin",75.875,291,NA,5.18,34,27,108,4.54,7.55,NA,NA
"1116",2017,"LAR",3,91,"JohnJo10",38,13,5.47368421052632,"John Johnson","DB","Boston College",72.625,208,NA,4.61,14,37,119,4.18,6.72,NA,NA
"1117",2011,"NE",2,56,"VereSh00",79,27,5.46835443037975,"Shane Vereen","RB","California",70.25,210,NA,4.49,31,34,115,4.28,6.95,NA,NA
"1118",2016,"SD",2,35,"HenrHu00",41,14,5.46341463414634,"Hunter Henry","TE","Arkansas",76.875,250,NA,NA,13,NA,NA,NA,NA,NA,1
"1119",2007,"MIA",4,108,"SoliPa99",138,47,5.44927536231884,"Paul Soliai","DL","Utah",76,344,NA,5.12,NA,29.5,103,4.69,7.66,1,NA
"1120",2003,"ARI",3,70,"HayeGe20",94,32,5.4468085106383,"Gerald Hayes","LB","Pittsburgh",72.9,238,NA,4.75,NA,30.5,107,4.35,7.57,NA,NA
"1121",2013,"DEN",1,28,"WillSy00",94,32,5.4468085106383,"Sylvester Williams","DL","North Carolina",74.625,313,25,5.03,27,26.5,102,4.8,7.93,NA,NA
"1122",2013,"OAK",3,66,"MoorSi00",47,16,5.4468085106383,"Sio Moore","LB","Connecticut",72.75,245,NA,4.65,29,38,127,4.31,7.49,NA,NA
"1123",2017,"LAC",5,151,"KingDe01",47,16,5.4468085106383,"Desmond King","DB","Iowa",70.25,201,NA,NA,14,34,117,4.18,6.67,NA,NA
"1124",2017,"MIA",5,178,"GodcDa00",47,16,5.4468085106383,"Davon Godchaux","DL","Louisiana State",75.125,310,NA,5.27,18,NA,NA,4.43,NA,NA,NA
"1125",2000,"CLE",2,32,"NortDe00",144,49,5.44444444444444,"Dennis Northcutt","WR","Arizona",70.4,175,NA,4.46,NA,37.5,123,4.04,6.96,NA,NA
"1126",2008,"TEN",2,54,"JoneJa99",109,37,5.43119266055046,"Jason Jones","DL","Eastern Michigan",77.25,273,NA,4.8,18,25.5,123,4.32,7.29,NA,NA
"1127",2016,"CAR",3,77,"WorlDa00",56,19,5.42857142857143,"Daryl Worley","DB","West Virginia",72.75,204,NA,4.64,14,35.5,123,4.15,6.98,NA,NA
"1128",2000,"DEN",2,45,"KennKe21",115,39,5.42608695652174,"Kenoy Kennedy","DB","Arkansas",73,221,NA,4.71,8,33.5,113,4.38,7.08,NA,NA
"1129",2007,"SF",3,97,"McDoRa99",115,39,5.42608695652174,"Ray McDonald","DL","Florida",75.375,276,NA,NA,NA,NA,NA,NA,NA,NA,1
"1130",2016,"ATL",3,81,"HoopAu00",59,20,5.42372881355932,"Austin Hooper","TE","Stanford",75.75,254,NA,4.72,19,33,117,4.32,7,2,NA
"1131",2001,"BAL",2,62,"BaxtGa20",62,21,5.41935483870968,"Gary Baxter","DB","Baylor",73.6,204,NA,4.52,NA,37.5,122,4.21,7.39,NA,NA
"1132",2015,"SF",1,17,"ArmsAr01",62,21,5.41935483870968,"Arik Armstead","DL","Oregon",79.125,292,26,5.1,24,34,117,4.53,7.57,NA,NA
"1133",2015,"CAR",2,41,"FuncDe00",62,21,5.41935483870968,"Devin Funchess","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1134",2000,"DET",2,50,"GreeBa20",65,22,5.41538461538462,"Barrett Green","LB","West Virginia",73,233,NA,4.56,22,36,120,NA,NA,NA,NA
"1135",2014,"ATL",5,147,"AlleRi00",65,22,5.41538461538462,"Ricardo Allen","DB","Purdue",69.125,187,NA,4.61,13,35.5,116,4.15,NA,NA,NA
"1136",2013,"TEN",1,10,"WarmCh00",68,23,5.41176470588235,"Chance Warmack","OL","Alabama",74,317,9,5.49,NA,NA,110,NA,NA,NA,NA
"1137",2003,"SF",4,124,"LloyBr00",142,48,5.40845070422535,"Brandon Lloyd","WR","Illinois",72.1,184,NA,4.61,NA,36,NA,NA,NA,1,1
"1138",2003,"BAL",5,146,"FranAu20",142,48,5.40845070422535,"Aubrayo Franklin","DL","Tennessee",73.5,307,NA,5.2,NA,27,100,4.7,NA,NA,NA
"1139",2004,"TEN",2,57,"OdomAn20",74,25,5.40540540540541,"Antwan Odom","DL","Alabama",77.8,274,NA,4.74,21,37,114,4.44,7.3,NA,NA
"1140",2011,"DET",1,13,"FairNi00",77,26,5.4025974025974,"Nick Fairley","DL","Auburn",75.875,291,NA,4.84,NA,31,113,4.56,7.14,NA,NA
"1141",2009,"CHI",4,105,"MeltHe99",80,27,5.4,"Henry Melton","DL","Texas",75.625,269,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142",2015,"CLE",3,77,"JohnDu00",80,27,5.4,"Duke Johnson","RB","Miami (FL)",69.125,207,NA,4.54,NA,33.5,121,NA,NA,NA,NA
"1143",2000,"PIT",5,137,"HaggCl20",172,58,5.3953488372093,"Clark Haggans","LB","Colorado State",75.4,253,NA,5.01,20,31.5,109,4.21,7.12,NA,NA
"1144",2008,"TB",6,175,"HayeGe98",101,34,5.38613861386139,"Geno Hayes","LB","Florida State",72.875,226,NA,4.67,22,26.5,116,4.48,7.22,NA,NA
"1145",2004,"CIN",2,56,"WillMa20",119,40,5.3781512605042,"Madieu Williams","DB","Maryland",72.4,193,NA,4.5,18,NA,125,NA,NA,NA,NA
"1146",2005,"SF",2,33,"BaasDa20",122,41,5.37704918032787,"David Baas","OL","Michigan",76.5,319,NA,5.07,29,29.5,102,4.46,7.5,NA,NA
"1147",2009,"KC",1,3,"JackTy98",122,41,5.37704918032787,"Tyson Jackson","DL","Louisiana State",76.125,296,NA,4.94,NA,28.5,102,4.8,7.64,NA,NA
"1148",2000,"TEN",6,197,"SmitRo21",134,45,5.37313432835821,"Robaire Smith","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149",2009,"MIA",2,61,"SmitSe99",137,46,5.37226277372263,"Sean Smith","DB","Utah",75.5,214,NA,4.5,10,34,119,4.15,6.92,NA,1
"1150",2002,"PHI",7,238,"BrocRa20",152,51,5.36842105263158,"Raheem Brock","DL","Temple",75.6,267,NA,4.93,25,34,109,4.23,7.09,NA,NA
"1151",2000,"TEN",4,128,"SirmPe20",81,27,5.33333333333333,"Peter Sirmon","LB","Oregon",73.9,246,NA,4.86,20,34.5,115,4.27,7.21,NA,NA
"1152",2001,"CHI",2,38,"ThomAn01",87,29,5.33333333333333,"Anthony Thomas","RB","Michigan",73.6,229,NA,4.62,20,32.5,115,4.44,7.48,NA,NA
"1153",2001,"KC",3,77,"MinnMa00",15,5,5.33333333333333,"Snoop Minnis","WR","Florida State",73,171,NA,4.57,NA,37.5,115,4.07,7.06,NA,NA
"1154",2001,"TB",3,84,"SmitDw20",117,39,5.33333333333333,"Dwight Smith","DB","Akron",69.6,212,NA,4.5,15,33.5,114,NA,NA,NA,NA
"1155",2002,"WAS",2,56,"BettLa00",111,37,5.33333333333333,"Ladell Betts","RB","Iowa",70.5,220,NA,4.6,23,38,115,4.06,7.06,NA,NA
"1156",2003,"NO",4,102,"HollMo20",99,33,5.33333333333333,"Montrae Holland","OL","Florida State",73.5,333,NA,5.3,30,NA,NA,5.12,8.45,NA,NA
"1157",2003,"MIA",7,248,"WillDa22",3,1,5.33333333333333,"Davern Williams","DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158",2003,"NYG",7,249,"LuciWa20",27,9,5.33333333333333,"Wayne Lucier","OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159",2004,"OAK",2,45,"GrovJa20",66,22,5.33333333333333,"Jake Grove","OL","Virginia Tech",75.4,303,NA,5.17,31,NA,NA,NA,NA,NA,NA
"1160",2004,"NO",2,60,"WatsCo20",21,7,5.33333333333333,"Courtney Watson","LB","Notre Dame",73.4,237,NA,4.56,22,36.5,114,4.35,7.39,NA,NA
"1161",2006,"KC",2,54,"PollBe20",126,42,5.33333333333333,"Bernard Pollard","DB","Purdue",73.63,224,NA,4.6,NA,36.5,131,NA,NA,NA,NA
"1162",2006,"GB",3,75,"SpitJa20",75,25,5.33333333333333,"Jason Spitz","OL","Louisville",75.5,313,NA,5.43,25,28.5,102,4.55,7.82,NA,NA
