"","Draft Year","Team","Draft Round","Pick Number","PlayerID","Games","Avg Value","AV16","Name","Position","College","Height","Weight","Wonderlic","40 YD","Bench","Vert","Broad","Shuttle","3Cone","Pro Bowls","All Pros"
"19",2016,"NO",2,47,"ThomMi05",63,58,14.7301587301587,"Michael Thomas","WR","Ohio State",74.75,212,NA,4.57,18,35,126,4.13,6.8,3,3
"20",2012,"IND",1,1,"LuckAn00",86,79,14.6976744186047,"Andrew Luck","QB","Stanford",76,234,37,4.59,NA,36,124,4.28,6.8,4,NA
"21",2012,"CAR",1,9,"KuecLu00",118,107,14.5084745762712,"Luke Kuechly","LB","Boston College",75.25,242,NA,4.58,27,38,123,4.12,6.92,2,3
"22",2011,"ATL",1,6,"JoneJu02",126,113,14.3492063492063,"Julio Jones","WR","Alabama",74.75,220,NA,4.34,17,38.5,135,4.25,6.66,7,6
"23",2004,"NYG",1,4,"RivePh00",228,204,14.3157894736842,"Philip Rivers","QB","North Carolina State",77,229,30,5.08,NA,NA,NA,NA,NA,8,2
"24",2019,"ARI",1,1,"MurrKy00",16,14,14,"Kyler Murray","QB","Oklahoma",70.125,207,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2011,"DEN",1,2,"MillVo00",135,117,13.8666666666667,"Von Miller","LB","Texas A&M",74.625,246,NA,4.42,21,37,126,4.06,6.7,6,4
"26",2004,"PIT",1,11,"RoetBe00",218,186,13.651376146789,"Ben Roethlisberger","QB","Miami (OH)",76.9,241,25,4.75,NA,NA,NA,NA,NA,6,1
"27",2003,"HOU",4,101,"DaviDo01",40,34,13.6,"Domanick Williams","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2014,"BAL",1,17,"MoslC.00",79,67,13.5696202531646,"C.J. Mosley","LB","Alabama",74,234,NA,4.65,NA,35,116,4.4,7.3,1,1
"29",2016,"KC",5,165,"HillTy00",59,50,13.5593220338983,"Tyreek Hill","WR","West Alabama",68.125,185,NA,NA,NA,NA,NA,NA,NA,3,NA
"30",2013,"PIT",2,48,"BellLe00",77,65,13.5064935064935,"Le'Veon Bell","RB","Michigan State",73.375,230,NA,4.6,24,31.5,118,4.24,6.75,3,1
"31",2017,"CAR",1,8,"McCaCh01",48,40,13.3333333333333,"Christian McCaffrey","RB","Stanford",71.25,202,21,4.48,10,37.5,121,4.22,6.57,1,NA
"32",2017,"KC",3,86,"HuntKa00",35,29,13.2571428571429,"Kareem Hunt","RB","Toledo",70.5,216,NA,4.62,18,36.5,119,NA,NA,1,NA
"33",2017,"MIN",2,41,"CookDa01",29,24,13.2413793103448,"Dalvin Cook","RB","Florida State",71.125,210,NA,4.49,22,30.5,116,4.53,7.27,1,1
"34",2000,"CHI",1,9,"UrlaBr00",182,150,13.1868131868132,"Brian Urlacher","LB","New Mexico",75.9,258,NA,4.61,27,34,122,4.18,6.94,NA,NA
"35",2015,"TB",1,1,"WinsJa00",72,59,13.1111111111111,"Jameis Winston","QB","Florida State",75.75,231,27,4.97,NA,28.5,103,4.36,7.16,1,NA
"36",2014,"OAK",1,5,"MackKh00",94,76,12.936170212766,"Khalil Mack","LB","Buffalo",74.625,251,NA,4.65,23,40,127,4.18,7.08,1,1
