"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"235","Quinton Coples","DL","North Carolina",2012,"NYJ",1,16,"CoplQu00",62,20,5.16129032258065,77.75,284,NA,4.69,25,31.5,109,4.78,7.57,NA,NA
"236","Sam Hubbard","DL","Ohio State",2018,"CIN",3,77,"HubbSa00",31,10,5.16129032258065,77.375,270,NA,NA,NA,35,116,4.32,6.84,NA,NA
"237","Andrew Billings","DL","Baylor",2016,"CIN",4,122,"BillAn00",47,15,5.1063829787234,72.625,311,NA,5.05,31,27.5,113,4.82,8.05,NA,NA
"238","Evander Hood","DL","Missouri",2009,"PIT",1,32,"HoodEv99",141,45,5.1063829787234,74.88,300,NA,4.83,34,33,108,4.55,7.5,NA,NA
"239","Corey Williams","DL","Arkansas State",2004,"GB",6,179,"WillCo21",126,40,5.07936507936508,76,313,NA,5.18,25,28,NA,4.55,7.97,NA,NA
"240","Erik Walden","DL",NA,2008,"DAL",6,167,"WaldEr99",145,46,5.07586206896552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Kendall Reyes","DL","Connecticut",2012,"SD",2,49,"ReyeKe00",76,24,5.05263157894737,76.125,299,NA,4.82,36,34.5,113,4.53,7.43,NA,NA
"242","Paul Kruger","DL","Utah",2009,"BAL",2,57,"KrugPa99",114,36,5.05263157894737,76.25,263,NA,4.83,24,32.5,108,4.47,7.52,NA,NA
"243","Larry Tripplett","DL","Washington",2002,"IND",2,42,"TripLa20",92,29,5.04347826086957,73.8,305,NA,4.95,NA,30,100,4.35,NA,NA,NA
"244","Jason Worilds","DL",NA,2010,"PIT",2,52,"WoriJa99",73,23,5.04109589041096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Sheldon Rankins","DL","Louisville",2016,"NO",1,12,"RankSh00",51,16,5.01960784313725,73.125,299,NA,5.03,28,34.5,118,4.59,7.44,NA,NA
"246","Arthur Jones","DL","Syracuse",2010,"BAL",5,157,"JoneAr22",64,20,5,75.25,301,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Christian Wilkins","DL","Clemson",2019,"MIA",1,13,"WilkCh00",16,5,5,75.25,311,NA,5.04,28,29.5,107,4.55,NA,NA,NA
"248","Matt Roth","DL","Iowa",2005,"MIA",2,46,"RothMa20",96,30,5,75.75,278,NA,4.83,26,32,110,4.36,7.65,NA,NA
"249","Kenyon Coleman","DL","UCLA",2002,"OAK",5,147,"ColeKe20",141,44,4.99290780141844,76.9,284,NA,4.97,32,NA,NA,NA,NA,NA,NA
"250","Mario Fatafehi","DL","Kansas State",2001,"ARI",5,133,"FataMa20",45,14,4.97777777777778,73.9,295,NA,5.27,NA,NA,NA,NA,NA,NA,NA
"251","Marcus Tubbs","DL","Texas",2004,"SEA",1,23,"TubbMa20",29,9,4.96551724137931,76,321,NA,5.05,29,32.5,105,NA,NA,NA,NA
"252","Isaac Sopoaga","DL","Hawaii",2004,"SF",4,104,"SopoIs20",139,43,4.94964028776978,74.3,317,NA,5,42,30.5,99,4.66,7.79,NA,NA
"253","Sam Acho","DL",NA,2011,"ARI",4,103,"AchoSa00",110,34,4.94545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Nick Perry","DL","Southern California",2012,"GB",1,28,"PerrNi00",81,25,4.93827160493827,74.75,271,NA,4.55,35,38.5,124,4.66,7.25,NA,NA
"255","Daniel Te'o-Nesheim","DL","Washington",2010,"PHI",3,86,"Teo-Da99",39,12,4.92307692307692,75.5,263,NA,4.73,29,37,121,4.18,6.91,NA,NA
"256","Quinton Jefferson","DL","Maryland",2016,"SEA",5,147,"JeffQu00",39,12,4.92307692307692,75.875,291,NA,4.95,24,29,NA,4.37,7.95,NA,NA
"257","Brian Robison","DL","Texas",2007,"MIN",4,102,"RobiBr98",173,53,4.90173410404624,75.13,259,NA,4.72,27,40.5,121,4.26,6.89,NA,NA
"258","Anthony Adams","DL","Penn State",2003,"SF",2,57,"AdamAn20",121,37,4.89256198347107,71.6,299,NA,5.1,NA,30.5,109,4.57,7.67,NA,NA
"259","Carlos Hall","DL","Arkansas",2002,"TEN",7,240,"HallCa20",59,18,4.88135593220339,75.6,259,NA,4.68,20,40,125,4.19,6.97,NA,NA
"260","Jordan Phillips","DL","Oklahoma",2015,"MIA",2,52,"PhilJo01",76,23,4.84210526315789,77.25,329,NA,5.17,28,30,105,4.68,7.88,NA,NA
"261","Chad Lavalais","DL",NA,2004,"ATL",5,142,"LavaCh20",30,9,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Amobi Okoye","DL","Louisville",2007,"HOU",1,10,"OkoyAm99",87,26,4.7816091954023,74,302,NA,5.07,29,30,111,NA,7.46,NA,NA
"263","Adam Gotsis","DL","Georgia Tech",2016,"DEN",2,63,"GotsAd00",57,17,4.7719298245614,76.5,287,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Fili Moala","DL","Southern California",2009,"IND",2,56,"MoalFi99",64,19,4.75,76,305,NA,5.07,25,30.5,100,NA,NA,NA,NA
"265","Monsanto Pope","DL","Virginia",2002,"DEN",7,231,"PopeMo20",48,14,4.66666666666667,75.5,295,NA,5.26,NA,NA,NA,NA,NA,NA,NA
"266","Sen'Derrick Marks","DL","Auburn",2009,"TEN",2,62,"MarkSe99",103,30,4.66019417475728,73.75,306,NA,5,NA,33,NA,NA,NA,NA,NA
"267","Allen Bailey","DL","Miami (FL)",2011,"KC",3,86,"BailAl00",117,34,4.64957264957265,75,285,NA,4.71,27,36.5,117,4.56,7.43,NA,NA
"268","Stephen Paea","DL","Oregon State",2011,"CHI",2,53,"PaeaSt00",83,24,4.62650602409639,73.25,303,NA,4.98,49,NA,NA,NA,NA,NA,NA
"269","Derrick Harvey","DL","Florida",2008,"JAX",1,8,"HarvDe99",52,15,4.61538461538461,76.63,271,NA,4.89,31,28.5,113,4.36,7.27,NA,NA
"270","Quinton Dial","DL","Alabama",2013,"SF",5,157,"DialQu00",59,17,4.61016949152542,77.375,318,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Dwan Edwards","DL","Oregon State",2004,"BAL",2,51,"EdwaDw20",136,39,4.58823529411765,74.8,313,NA,5.14,25,28,105,4.68,7.59,NA,NA
"272","Jamaal Anderson","DL","Arkansas",2007,"ATL",1,8,"AndeJa98",77,22,4.57142857142857,77.375,288,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Justin Ellis","DL","Louisiana Tech",2014,"OAK",4,107,"ElliJu01",70,20,4.57142857142857,73.5,334,NA,5.27,25,28,91,4.75,7.81,NA,NA
"274","Rodney Gunter","DL","Delaware State",2015,"ARI",4,116,"GuntRo00",77,22,4.57142857142857,76.375,298,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Rodrique Wright","DL","Texas",2006,"MIA",7,226,"WrigRo99",14,4,4.57142857142857,77.13,300,NA,5.11,31,32,110,4.51,7.84,NA,NA
"276","Shelby Harris","DL","Illinois State",2014,"OAK",7,235,"HarrSh00",56,16,4.57142857142857,74.125,285,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Stylez G. White","DL",NA,2002,"HOU",7,229,"WhitGr99",63,18,4.57142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","B.J. Hill","DL","North Carolina State",2018,"NYG",3,69,"HillB.00",32,9,4.5,75.25,311,NA,4.99,35,26.5,101,4.53,7.28,NA,NA
"279","Leonardo Carson","DL","Auburn",2000,"SD",4,113,"CarsLe20",64,18,4.5,73.5,283,NA,5.06,22,28,106,4.75,7.82,NA,NA
"280","Jarvis Green","DL","Louisiana State",2002,"NE",4,126,"GreeJa21",121,34,4.49586776859504,75.1,272,NA,4.85,NA,31,109,4.25,7.52,NA,NA
"281","Kevin Vickerson","DL","Michigan State",2005,"MIA",7,216,"VickKe99",86,24,4.46511627906977,77,310,NA,5.07,NA,32.5,97,4.64,7.78,NA,NA
"282","Brent Urban","DL","Virginia",2014,"BAL",4,134,"UrbaBr00",54,15,4.44444444444444,78.625,295,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Johnathan Sullivan","DL","Georgia",2003,"NO",1,6,"SullJo23",36,10,4.44444444444444,75.1,313,NA,5.07,NA,NA,NA,NA,NA,NA,NA
